hypothesis,model,metric_key,metric,n,stat,value,source_file
H1,all-MiniLM-L12-v2,ratio_max@1_mean,ratio_max,1,mean,0.0604032570917843,/home/romulo/Documentos/MAI-DAI-USP/embedding_models_eval/results/experimento2_h1_selected/all-MiniLM-L12-v2/comparacao_modelos_macro.csv
H1,all-MiniLM-L6-v2,ratio_max@1_mean,ratio_max,1,mean,0.084395288019514,/home/romulo/Documentos/MAI-DAI-USP/embedding_models_eval/results/experimento2_h1_selected/all-MiniLM-L6-v2/comparacao_modelos_macro.csv
H1,all-mpnet-base-v2,ratio_max@1_mean,ratio_max,1,mean,0.1121564288394783,/home/romulo/Documentos/MAI-DAI-USP/embedding_models_eval/results/experimento2_h1_selected/all-mpnet-base-v2/comparacao_modelos_macro.csv
H1,gemini-embedding,ratio_max@1_mean,ratio_max,1,mean,0.1550688301636444,/home/romulo/Documentos/MAI-DAI-USP/embedding_models_eval/results/experimento2_h1_selected/gemini-embedding/comparacao_modelos_macro.csv
H1,multi-qa-MiniLM-L6-cos-v1,ratio_max@1_mean,ratio_max,1,mean,0.0447571301247771,/home/romulo/Documentos/MAI-DAI-USP/embedding_models_eval/results/experimento2_h1_selected/multi-qa-MiniLM-L6-cos-v1/comparacao_modelos_macro.csv
H1,paraphrase-MiniLM-L12-v2,ratio_max@1_mean,ratio_max,1,mean,0.0275450206398348,/home/romulo/Documentos/MAI-DAI-USP/embedding_models_eval/results/experimento2_h1_selected/paraphrase-MiniLM-L12-v2/comparacao_modelos_macro.csv
H1,paraphrase-multilingual-MiniLM,ratio_max@1_mean,ratio_max,1,mean,0.0250674185317979,/home/romulo/Documentos/MAI-DAI-USP/embedding_models_eval/results/experimento2_h1_selected/paraphrase-multilingual-MiniLM/comparacao_modelos_macro.csv
H1,qwen3-embedding-8b,ratio_max@1_mean,ratio_max,1,mean,0.0649642125590268,/home/romulo/Documentos/MAI-DAI-USP/embedding_models_eval/results/experimento2_h1_selected/qwen3-embedding-8b/comparacao_modelos_macro.csv
H1,text-embedding-3-large,ratio_max@1_mean,ratio_max,1,mean,0.1121564288394783,/home/romulo/Documentos/MAI-DAI-USP/embedding_models_eval/results/experimento2_h1_selected/text-embedding-3-large/comparacao_modelos_macro.csv
H1,text-embedding-3-small,ratio_max@1_mean,ratio_max,1,mean,0.0717116873065015,/home/romulo/Documentos/MAI-DAI-USP/embedding_models_eval/results/experimento2_h1_selected/text-embedding-3-small/comparacao_modelos_macro.csv
H1,all-MiniLM-L12-v2,ratio_max@1_std,ratio_max,1,std,0.0584755996512654,/home/romulo/Documentos/MAI-DAI-USP/embedding_models_eval/results/experimento2_h1_selected/all-MiniLM-L12-v2/comparacao_modelos_macro.csv
H1,all-MiniLM-L6-v2,ratio_max@1_std,ratio_max,1,std,0.170485398305921,/home/romulo/Documentos/MAI-DAI-USP/embedding_models_eval/results/experimento2_h1_selected/all-MiniLM-L6-v2/comparacao_modelos_macro.csv
H1,all-mpnet-base-v2,ratio_max@1_std,ratio_max,1,std,0.1737378518380847,/home/romulo/Documentos/MAI-DAI-USP/embedding_models_eval/results/experimento2_h1_selected/all-mpnet-base-v2/comparacao_modelos_macro.csv
H1,gemini-embedding,ratio_max@1_std,ratio_max,1,std,0.3159603307002662,/home/romulo/Documentos/MAI-DAI-USP/embedding_models_eval/results/experimento2_h1_selected/gemini-embedding/comparacao_modelos_macro.csv
