model,k,metric,observed_mean,random_mean,random_std,n_prompts,num_permutations,seed,p95,above_p95
all-mpnet-base-v2,1,ratio_max,0.32117978221730403,0.28443720003854567,0.06510672396634663,20,2500,42,0.3987021965960129,False
all-mpnet-base-v2,1,ratio_mean,0.32117978221730403,0.28443720003854567,0.06510672396634663,20,2500,42,0.3987021965960129,False
all-mpnet-base-v2,1,ratio_min,0.32117978221730403,0.28443720003854567,0.06510672396634663,20,2500,42,0.3987021965960129,False
all-mpnet-base-v2,2,ratio_max,0.42215750839549465,0.43691357820690935,0.07074543745338767,20,2500,42,0.5619331351875041,False
all-mpnet-base-v2,2,ratio_mean,0.3135382852725085,0.32047839142263257,0.0534677348213284,20,2500,42,0.41243615004225365,False
all-mpnet-base-v2,2,ratio_min,0.19090966631407807,0.17526763352961108,0.04916026962746975,20,2500,42,0.2624400992561789,False
all-mpnet-base-v2,3,ratio_max,0.5583763757219133,0.5313474308428492,0.06878167820795646,20,2500,42,0.6461782871095779,False
all-mpnet-base-v2,3,ratio_mean,0.3692149439033312,0.3487885950031029,0.04721745288401652,20,2500,42,0.42853330093356495,False
all-mpnet-base-v2,3,ratio_min,0.20633686982951688,0.12295079775290069,0.03885381773905954,20,2500,42,0.19116753201863487,True
all-mpnet-base-v2,4,ratio_max,0.6094264069264069,0.6025315334058509,0.06840747533053637,20,2500,42,0.7120138744956233,False
all-mpnet-base-v2,4,ratio_mean,0.4106517554861229,0.37731857372548283,0.045517813457377175,20,2500,42,0.45333056681133765,False
all-mpnet-base-v2,4,ratio_min,0.1838095238095238,0.10170319187675068,0.037718258226003325,20,2500,42,0.16881775210084032,True
all-mpnet-base-v2,5,ratio_max,0.6401948051948052,0.6609197872853267,0.06748189194338328,20,2500,42,0.7725503998316499,False
all-mpnet-base-v2,5,ratio_mean,0.4047224196648875,0.4057997534453162,0.045953829872873594,20,2500,42,0.48363844585524035,False
all-mpnet-base-v2,5,ratio_min,0.11069444444444446,0.08448513593922416,0.03566262870557924,20,2500,42,0.1506440295815296,False
all-mpnet-base-v2,6,ratio_max,0.7067286343459287,0.7089267511241131,0.06356957769377171,20,2500,42,0.8132068903159827,False
all-mpnet-base-v2,6,ratio_mean,0.4736975910238246,0.45545953245172766,0.042861803551604113,20,2500,42,0.5253470397456388,False
all-mpnet-base-v2,6,ratio_min,0.1376984126984127,0.11937979365079365,0.0318176240322538,20,2500,42,0.17697123015873015,False
all-mpnet-base-v2,7,ratio_max,0.8561255411255413,0.7507593921478762,0.061526883103144525,20,2500,42,0.851591180381142,True
all-mpnet-base-v2,7,ratio_mean,0.567398563766187,0.4811667586571826,0.04630619150045321,20,2500,42,0.5570788886247486,True
all-mpnet-base-v2,7,ratio_min,0.18916666666666665,0.15685042857142859,0.028711544090334096,20,2500,42,0.21048214285714284,False
text-embedding-3-large,1,ratio_max,0.27893913336193066,0.2847849939432338,0.06411025803134383,20,2500,43,0.3927358674815856,False
text-embedding-3-large,1,ratio_mean,0.27893913336193066,0.2847849939432338,0.06411025803134383,20,2500,43,0.3927358674815856,False
text-embedding-3-large,1,ratio_min,0.27893913336193066,0.2847849939432338,0.06411025803134383,20,2500,43,0.3927358674815856,False
text-embedding-3-large,2,ratio_max,0.49811257768245054,0.43564569615218024,0.06905199365285467,20,2500,43,0.5485947498091065,False
text-embedding-3-large,2,ratio_mean,0.35976026680282375,0.31948411484221767,0.0521790006849823,20,2500,43,0.40731812345335333,False
text-embedding-3-large,2,ratio_min,0.17635287077044043,0.17383671547810634,0.047603229228568085,20,2500,43,0.25565755256525374,False
text-embedding-3-large,3,ratio_max,0.6142813661308443,0.5292282596277049,0.06964926355077636,20,2500,43,0.6444997540390206,False
text-embedding-3-large,3,ratio_mean,0.40415883345719383,0.3479005086112635,0.04719240143051507,20,2500,43,0.4274363916334805,False
text-embedding-3-large,3,ratio_min,0.11466269841269842,0.12249682487447194,0.03847597494059502,20,2500,43,0.19315717248437833,False
text-embedding-3-large,4,ratio_max,0.6953070175438596,0.5985645890508283,0.07021367073506403,20,2500,43,0.7132698021477201,False
text-embedding-3-large,4,ratio_mean,0.43280280090279344,0.37581440213015693,0.04590609056127328,20,2500,43,0.45153681520613487,False
text-embedding-3-large,4,ratio_min,0.13164565826330532,0.10183479178338001,0.03772723007666433,20,2500,43,0.17023214285714286,False
text-embedding-3-large,5,ratio_max,0.80675903774588,0.6573769889710679,0.06848222398276226,20,2500,43,0.7684968924837345,True
text-embedding-3-large,5,ratio_mean,0.4794134565312046,0.40435891842215854,0.04625861458271456,20,2500,43,0.47913382441602476,True
text-embedding-3-large,5,ratio_min,0.10121212121212123,0.08545520524573468,0.03569132724020124,20,2500,43,0.15187478248875302,False
text-embedding-3-large,6,ratio_max,0.8908715339300048,0.7041107567621849,0.06425824985189649,20,2500,43,0.8089318293311425,True
text-embedding-3-large,6,ratio_mean,0.541672566813323,0.4530006580182823,0.043822403469219576,20,2500,43,0.525371952269235,True
text-embedding-3-large,6,ratio_min,0.12875,0.11885669841269841,0.03230862546331807,20,2500,43,0.17978472222222222,False
text-embedding-3-large,7,ratio_max,0.9148109278693987,0.7469223091775595,0.06189042502486468,20,2500,43,0.8452396615753063,True
text-embedding-3-large,7,ratio_mean,0.5617582859490832,0.4799321003844526,0.04728278773701905,20,2500,43,0.5583640567656301,True
text-embedding-3-large,7,ratio_min,0.16964285714285715,0.1576395238095238,0.02990790970171978,20,2500,43,0.21416666666666667,False
all-MiniLM-L12-v2,1,ratio_max,0.35772902912746246,0.2831799523603078,0.0652882964651251,20,2500,44,0.39712276938830277,False
all-MiniLM-L12-v2,1,ratio_mean,0.35772902912746246,0.2831799523603078,0.0652882964651251,20,2500,44,0.39712276938830277,False
all-MiniLM-L12-v2,1,ratio_min,0.35772902912746246,0.2831799523603078,0.0652882964651251,20,2500,44,0.39712276938830277,False
all-MiniLM-L12-v2,2,ratio_max,0.42781994268586826,0.43561690039000206,0.06865829468885387,20,2500,44,0.5504953569303579,False
all-MiniLM-L12-v2,2,ratio_mean,0.31195077255603526,0.3192379378316312,0.05200234902141804,20,2500,44,0.40653680897829414,False
all-MiniLM-L12-v2,2,ratio_min,0.17913410419989367,0.17328841579052182,0.04920513225579218,20,2500,44,0.261771804176216,False
all-MiniLM-L12-v2,3,ratio_max,0.5068429784950884,0.5293506180531288,0.06936844474172502,20,2500,44,0.6422561082788806,False
all-MiniLM-L12-v2,3,ratio_mean,0.34295169575136814,0.3472447553103366,0.04665236624897739,20,2500,44,0.4241338515224938,False
