model,k,metric,observed_mean,random_mean,random_std,n_prompts,num_permutations,seed,p95,above_p95
all-mpnet-base-v2,1,ratio_max,0.5749316403517035,0.5441098419677487,0.04000485559077815,20,2500,42,0.615341009731323,False
all-mpnet-base-v2,1,ratio_mean,0.5749316403517035,0.5441098419677487,0.04000485559077815,20,2500,42,0.615341009731323,False
all-mpnet-base-v2,1,ratio_min,0.5749316403517035,0.5441098419677487,0.04000485559077815,20,2500,42,0.615341009731323,False
all-mpnet-base-v2,2,ratio_max,0.6307962941548881,0.6414796026961156,0.04373728646995713,20,2500,42,0.7195307858625956,False
all-mpnet-base-v2,2,ratio_mean,0.595449990408572,0.5961214077480834,0.03130249234171411,20,2500,42,0.6508362122519123,False
all-mpnet-base-v2,2,ratio_min,0.5688501637203996,0.5529174898167457,0.02560340049202838,20,2500,42,0.5971460112921092,False
all-mpnet-base-v2,3,ratio_max,0.717822262645051,0.7067858817453949,0.04222257631024276,20,2500,42,0.7778085344314851,False
all-mpnet-base-v2,3,ratio_mean,0.6531102933899949,0.6380819436193619,0.02575063252010414,20,2500,42,0.6825679709625468,False
all-mpnet-base-v2,3,ratio_min,0.6162511918820852,0.5694387957724434,0.018099976360333447,20,2500,42,0.6001281220104617,True
all-mpnet-base-v2,4,ratio_max,0.75249529198404,0.7557736799396267,0.041036280963038144,20,2500,42,0.8234674613165108,False
all-mpnet-base-v2,4,ratio_mean,0.6922442677451242,0.6785876315718476,0.022621626680941413,20,2500,42,0.7167093096319693,False
all-mpnet-base-v2,4,ratio_min,0.6435905178483762,0.6142151465382841,0.01478535123235105,20,2500,42,0.640920637758659,True
all-mpnet-base-v2,5,ratio_max,0.773327994099881,0.7933909835198386,0.03972230729086145,20,2500,42,0.8606714186137059,False
all-mpnet-base-v2,5,ratio_mean,0.7174940159937265,0.7163697096708999,0.0203316979677614,20,2500,42,0.7502321019729616,False
all-mpnet-base-v2,5,ratio_min,0.6770436507936507,0.6623103109668109,0.011570928697713317,20,2500,42,0.6829698773448774,False
all-mpnet-base-v2,6,ratio_max,0.8115454884554829,0.8253492327351871,0.037368877756041634,20,2500,42,0.8880660695422743,False
all-mpnet-base-v2,6,ratio_mean,0.7526134381464209,0.7536703835462117,0.018141839539917947,20,2500,42,0.783744190533145,False
