model,k,metric,observed_mean,observed_std
deepseek-deepseek-v3.1-terminus,1,ratio_max,0.33638194072418176,0.33705586706838303
deepseek-deepseek-v3.1-terminus,1,ratio_mean,0.33638194072418176,0.33705586706838303
deepseek-deepseek-v3.1-terminus,1,ratio_min,0.33638194072418176,0.33705586706838303
deepseek-deepseek-v3.1-terminus,2,ratio_max,0.41949428095533003,0.29730423798130734
deepseek-deepseek-v3.1-terminus,2,ratio_mean,0.3220276993894876,0.23397720400061645
deepseek-deepseek-v3.1-terminus,2,ratio_min,0.19660499588131167,0.1851112019808974
deepseek-deepseek-v3.1-terminus,3,ratio_max,0.4752027804236979,0.341658597532475
deepseek-deepseek-v3.1-terminus,3,ratio_mean,0.3392360032443323,0.22236597048211454
deepseek-deepseek-v3.1-terminus,3,ratio_min,0.14799408924408924,0.16917747313449705
deepseek-deepseek-v3.1-terminus,4,ratio_max,0.627748348143085,0.33509325559695674
deepseek-deepseek-v3.1-terminus,4,ratio_mean,0.4013504708293733,0.22670398872201053
deepseek-deepseek-v3.1-terminus,4,ratio_min,0.13545518207282914,0.23275141669164406
deepseek-deepseek-v3.1-terminus,5,ratio_max,0.7087304362304362,0.3262251327954271
deepseek-deepseek-v3.1-terminus,5,ratio_mean,0.4275703658751529,0.2108587876675152
deepseek-deepseek-v3.1-terminus,5,ratio_min,0.07089466089466089,0.1751564701234567
deepseek-deepseek-v3.1-terminus,6,ratio_max,0.7777447552447552,0.29032586745443606
deepseek-deepseek-v3.1-terminus,6,ratio_mean,0.5202713379358554,0.24592616092090988
deepseek-deepseek-v3.1-terminus,6,ratio_min,0.09513888888888888,0.25053852816197203
deepseek-deepseek-v3.1-terminus,7,ratio_max,0.7954004329004329,0.28945275469870424
deepseek-deepseek-v3.1-terminus,7,ratio_mean,0.5124431537651171,0.25200108088967105
deepseek-deepseek-v3.1-terminus,7,ratio_min,0.12142857142857141,0.3084036023701527
