model,k,metric,observed_mean,observed_std
openai-gpt-oss-120b,1,ratio_max,0.15504338611874954,0.1370542981659059
openai-gpt-oss-120b,1,ratio_mean,0.15504338611874954,0.1370542981659059
openai-gpt-oss-120b,1,ratio_min,0.15504338611874954,0.1370542981659059
openai-gpt-oss-120b,2,ratio_max,0.45627639368684303,0.30435886796482375
openai-gpt-oss-120b,2,ratio_mean,0.3034456162549354,0.17606052979804443
openai-gpt-oss-120b,2,ratio_min,0.10626511130768097,0.1460438271700851
openai-gpt-oss-120b,3,ratio_max,0.5943222048906625,0.2952692947228219
openai-gpt-oss-120b,3,ratio_mean,0.35724036577115525,0.16785322231157362
openai-gpt-oss-120b,3,ratio_min,0.09325202575202575,0.11391560433057683
openai-gpt-oss-120b,4,ratio_max,0.6418585059300254,0.3034774318252716
openai-gpt-oss-120b,4,ratio_mean,0.3855573270727896,0.16784986554183687
openai-gpt-oss-120b,4,ratio_min,0.071328197945845,0.11055697599004298
openai-gpt-oss-120b,5,ratio_max,0.6958243936862358,0.2893561860700026
openai-gpt-oss-120b,5,ratio_mean,0.44005599854370364,0.17854148353849517
openai-gpt-oss-120b,5,ratio_min,0.07011289364230541,0.10583010518608728
openai-gpt-oss-120b,6,ratio_max,0.7208266674714885,0.3214978010621568
openai-gpt-oss-120b,6,ratio_mean,0.5045315707408532,0.23496742077890317
openai-gpt-oss-120b,6,ratio_min,0.15603174603174602,0.27195976592211213
openai-gpt-oss-120b,7,ratio_max,0.7155812878511087,0.32556477964420105
openai-gpt-oss-120b,7,ratio_mean,0.49167843774374687,0.2637169809027053
openai-gpt-oss-120b,7,ratio_min,0.1582142857142857,0.3202633432388984
