model,k,metric,observed_mean,observed_std
openai-gpt-oss-120b,1,ratio_max,0.4659970234838461,0.13804085416236506
openai-gpt-oss-120b,1,ratio_mean,0.4659970234838461,0.13804085416236506
openai-gpt-oss-120b,1,ratio_min,0.4659970234838461,0.13804085416236506
openai-gpt-oss-120b,2,ratio_max,0.6559270343852426,0.21115578236907798
openai-gpt-oss-120b,2,ratio_mean,0.5912198468347136,0.12523707873508752
openai-gpt-oss-120b,2,ratio_min,0.5234471118173477,0.10973677316101092
openai-gpt-oss-120b,3,ratio_max,0.752622251937712,0.19487742790645046
openai-gpt-oss-120b,3,ratio_mean,0.6514642977909351,0.10126525625898133
openai-gpt-oss-120b,3,ratio_min,0.5587847004183162,0.09672096050034955
openai-gpt-oss-120b,4,ratio_max,0.7826067239874015,0.2011155854088327
openai-gpt-oss-120b,4,ratio_mean,0.6912644208856358,0.10905043198069254
openai-gpt-oss-120b,4,ratio_min,0.6065280396177944,0.10686074945124566
openai-gpt-oss-120b,5,ratio_max,0.8076293484217907,0.19076810159982205
openai-gpt-oss-120b,5,ratio_mean,0.7346800587833483,0.12029078281600011
openai-gpt-oss-120b,5,ratio_min,0.6621870490620491,0.10972583518714274
openai-gpt-oss-120b,6,ratio_max,0.831869544500222,0.20348084189185606
openai-gpt-oss-120b,6,ratio_mean,0.7756519005230756,0.1251587492591735
openai-gpt-oss-120b,6,ratio_min,0.725758065034381,0.13852077524555997
openai-gpt-oss-120b,7,ratio_max,0.8327170021273407,0.20194395796634476
openai-gpt-oss-120b,7,ratio_mean,0.7990866593507922,0.11773057981739952
openai-gpt-oss-120b,7,ratio_min,0.7533315259302102,0.1321797494495495
