model,k,metric,observed_mean,observed_std
qwen-qwen-2.5-7b-instruct,1,ratio_max,0.18482027424847208,0.22535853720685273
qwen-qwen-2.5-7b-instruct,1,ratio_mean,0.18482027424847208,0.22535853720685273
qwen-qwen-2.5-7b-instruct,1,ratio_min,0.18482027424847208,0.22535853720685273
qwen-qwen-2.5-7b-instruct,2,ratio_max,0.29343975238400394,0.24433964006556913
qwen-qwen-2.5-7b-instruct,2,ratio_mean,0.236157890786802,0.22378250283607995
qwen-qwen-2.5-7b-instruct,2,ratio_min,0.15349944044603486,0.23561482989993499
qwen-qwen-2.5-7b-instruct,3,ratio_max,0.44730318463888363,0.27544126690630005
qwen-qwen-2.5-7b-instruct,3,ratio_mean,0.2797950983655842,0.16944565507098275
qwen-qwen-2.5-7b-instruct,3,ratio_min,0.1136745036009742,0.16444178989398806
qwen-qwen-2.5-7b-instruct,4,ratio_max,0.580125129539391,0.31037336869223653
qwen-qwen-2.5-7b-instruct,4,ratio_mean,0.374814566340158,0.2145759519639898
qwen-qwen-2.5-7b-instruct,4,ratio_min,0.12849439775910365,0.20387257287724053
qwen-qwen-2.5-7b-instruct,5,ratio_max,0.6205739728108149,0.3217185385089712
qwen-qwen-2.5-7b-instruct,5,ratio_mean,0.4202305189642274,0.2499519189544631
qwen-qwen-2.5-7b-instruct,5,ratio_min,0.15571428571428572,0.28656452438852864
qwen-qwen-2.5-7b-instruct,6,ratio_max,0.6031895984805192,0.32221255514912056
qwen-qwen-2.5-7b-instruct,6,ratio_mean,0.4245629298256029,0.26586513440442966
qwen-qwen-2.5-7b-instruct,6,ratio_min,0.16091269841269842,0.3314719956180457
qwen-qwen-2.5-7b-instruct,7,ratio_max,0.6279950014109221,0.3261097485368367
qwen-qwen-2.5-7b-instruct,7,ratio_mean,0.45670804425764133,0.2901607999901457
qwen-qwen-2.5-7b-instruct,7,ratio_min,0.17964285714285716,0.3611004409634765
