model,k,metric,observed_mean,observed_std
qwen-qwen-2.5-7b-instruct,1,ratio_max,0.4833737752413203,0.158576122737498
qwen-qwen-2.5-7b-instruct,1,ratio_mean,0.4833737752413203,0.158576122737498
qwen-qwen-2.5-7b-instruct,1,ratio_min,0.4833737752413203,0.158576122737498
qwen-qwen-2.5-7b-instruct,2,ratio_max,0.554531733382302,0.17057431328088868
qwen-qwen-2.5-7b-instruct,2,ratio_mean,0.5442137394794899,0.14936455036898977
qwen-qwen-2.5-7b-instruct,2,ratio_min,0.5396298652405731,0.1474449890885938
qwen-qwen-2.5-7b-instruct,3,ratio_max,0.6481583309468498,0.20242639757151115
qwen-qwen-2.5-7b-instruct,3,ratio_mean,0.5962373800515032,0.1354737657637744
qwen-qwen-2.5-7b-instruct,3,ratio_min,0.5650053468317938,0.1240323700410476
qwen-qwen-2.5-7b-instruct,4,ratio_max,0.7312945464723091,0.2218833597563618
qwen-qwen-2.5-7b-instruct,4,ratio_mean,0.669225493292237,0.15116904791325145
qwen-qwen-2.5-7b-instruct,4,ratio_min,0.6255985397000681,0.13332954426188412
qwen-qwen-2.5-7b-instruct,5,ratio_max,0.7636136589610927,0.22402019954306795
qwen-qwen-2.5-7b-instruct,5,ratio_mean,0.7114741406369982,0.1568396944592186
qwen-qwen-2.5-7b-instruct,5,ratio_min,0.6790476190476191,0.14315758461001896
qwen-qwen-2.5-7b-instruct,6,ratio_max,0.7702342123207766,0.22008183289091449
qwen-qwen-2.5-7b-instruct,6,ratio_mean,0.7380784625860375,0.1554238441922465
qwen-qwen-2.5-7b-instruct,6,ratio_min,0.7316827726367201,0.14999104679199526
qwen-qwen-2.5-7b-instruct,7,ratio_max,0.8035497367619457,0.19466587537792934
qwen-qwen-2.5-7b-instruct,7,ratio_mean,0.7692661579236864,0.14800206920212317
qwen-qwen-2.5-7b-instruct,7,ratio_min,0.7553699246230207,0.14660141882813849
