model,k,metric,observed_mean,observed_std
x-ai-grok-4.1-fast,1,ratio_max,0.1699949911106527,0.2028182685870999
x-ai-grok-4.1-fast,1,ratio_mean,0.1699949911106527,0.2028182685870999
x-ai-grok-4.1-fast,1,ratio_min,0.1699949911106527,0.2028182685870999
x-ai-grok-4.1-fast,2,ratio_max,0.3771801363643765,0.3114448802186154
x-ai-grok-4.1-fast,2,ratio_mean,0.2722619518692999,0.2498711195413997
x-ai-grok-4.1-fast,2,ratio_min,0.13613098073237392,0.2147170349077648
x-ai-grok-4.1-fast,3,ratio_max,0.4717452681084269,0.270817359362168
x-ai-grok-4.1-fast,3,ratio_mean,0.28009340800480126,0.19203284922999994
x-ai-grok-4.1-fast,3,ratio_min,0.09345238095238095,0.14493696841966236
x-ai-grok-4.1-fast,4,ratio_max,0.5757545623589765,0.267225371626049
x-ai-grok-4.1-fast,4,ratio_mean,0.3247389772391059,0.1664103762732421
x-ai-grok-4.1-fast,4,ratio_min,0.07517740429505135,0.105104353653619
x-ai-grok-4.1-fast,5,ratio_max,0.5697251676199044,0.3170718320495614
x-ai-grok-4.1-fast,5,ratio_mean,0.3320602112315149,0.1827224436486872
x-ai-grok-4.1-fast,5,ratio_min,0.08049274255156608,0.1317234434568186
x-ai-grok-4.1-fast,6,ratio_max,0.6751874795896534,0.28434160767414135
x-ai-grok-4.1-fast,6,ratio_mean,0.43143225009118796,0.24623251504470223
x-ai-grok-4.1-fast,6,ratio_min,0.11222222222222222,0.2463680295369262
x-ai-grok-4.1-fast,7,ratio_max,0.727884181036355,0.29481258257374177
x-ai-grok-4.1-fast,7,ratio_mean,0.5006915699014258,0.2674516240824507
x-ai-grok-4.1-fast,7,ratio_min,0.1706547619047619,0.3204506322039544
