model,k,metric,observed_mean,observed_std
x-ai-grok-4.1-fast,1,ratio_max,0.4685502959836717,0.1761246509152476
x-ai-grok-4.1-fast,1,ratio_mean,0.4685502959836717,0.1761246509152476
x-ai-grok-4.1-fast,1,ratio_min,0.4685502959836717,0.1761246509152476
x-ai-grok-4.1-fast,2,ratio_max,0.611634206706119,0.2084693942506531
x-ai-grok-4.1-fast,2,ratio_mean,0.5690594585301503,0.16446418938724383
x-ai-grok-4.1-fast,2,ratio_min,0.5260253332748797,0.15270543354529892
x-ai-grok-4.1-fast,3,ratio_max,0.6775651978242476,0.18940600595837723
x-ai-grok-4.1-fast,3,ratio_mean,0.6013364698705923,0.13133084724093294
x-ai-grok-4.1-fast,3,ratio_min,0.5551004859259121,0.10625575338699408
x-ai-grok-4.1-fast,4,ratio_max,0.7573475199241819,0.1867309358597283
x-ai-grok-4.1-fast,4,ratio_mean,0.6579095976017375,0.11747975210450554
x-ai-grok-4.1-fast,4,ratio_min,0.6057290581561443,0.10394094094836036
x-ai-grok-4.1-fast,5,ratio_max,0.7732626392875772,0.19199642311413004
x-ai-grok-4.1-fast,5,ratio_mean,0.6984533096225863,0.10899034665245315
x-ai-grok-4.1-fast,5,ratio_min,0.667027417027417,0.11036501811398419
x-ai-grok-4.1-fast,6,ratio_max,0.8242172263385953,0.17499683568525778
x-ai-grok-4.1-fast,6,ratio_mean,0.7535694503686321,0.12156600079699034
x-ai-grok-4.1-fast,6,ratio_min,0.7170347744360903,0.12467927787186137
x-ai-grok-4.1-fast,7,ratio_max,0.8565673620785617,0.1631439987121478
x-ai-grok-4.1-fast,7,ratio_mean,0.7984973161571175,0.12343706687840542
x-ai-grok-4.1-fast,7,ratio_min,0.757239814279288,0.1254215638820497
