model,k,metric,observed_mean,random_mean,random_std,n_prompts,num_permutations,seed,p95,above_p95
deepseek-deepseek-v3.1-terminus,1,ratio_max,0.33638194072418176,0.2876417674927493,0.06521380679373852,20,2500,53,0.3988062966372415,False
deepseek-deepseek-v3.1-terminus,1,ratio_mean,0.33638194072418176,0.2876417674927493,0.06521380679373852,20,2500,53,0.3988062966372415,False
deepseek-deepseek-v3.1-terminus,1,ratio_min,0.33638194072418176,0.2876417674927493,0.06521380679373852,20,2500,53,0.3988062966372415,False
deepseek-deepseek-v3.1-terminus,2,ratio_max,0.41949428095533003,0.4387873841192528,0.06951141217770054,20,2500,53,0.5553564683716752,False
deepseek-deepseek-v3.1-terminus,2,ratio_mean,0.3220276993894876,0.321370480674638,0.05347306233079735,20,2500,53,0.4132294007858962,False
deepseek-deepseek-v3.1-terminus,2,ratio_min,0.19660499588131167,0.1740971117043431,0.049967156823718384,20,2500,53,0.26056447897218016,False
deepseek-deepseek-v3.1-terminus,3,ratio_max,0.4752027804236979,0.5347207333612328,0.06873258535313954,20,2500,53,0.6533635188788751,False
deepseek-deepseek-v3.1-terminus,3,ratio_mean,0.3392360032443323,0.3501996492088403,0.047334673252462676,20,2500,53,0.43130081583414054,False
deepseek-deepseek-v3.1-terminus,3,ratio_min,0.14799408924408924,0.12222393404634581,0.03792317257225911,20,2500,53,0.18817047188922187,False
deepseek-deepseek-v3.1-terminus,4,ratio_max,0.627748348143085,0.60309466225559,0.06852758425594066,20,2500,53,0.7187189512760395,False
deepseek-deepseek-v3.1-terminus,4,ratio_mean,0.4013504708293733,0.3776997213669082,0.045212998603694134,20,2500,53,0.45279821778461643,False
deepseek-deepseek-v3.1-terminus,4,ratio_min,0.13545518207282914,0.10071896732026143,0.03699247445403234,20,2500,53,0.16816129785247427,False
deepseek-deepseek-v3.1-terminus,5,ratio_max,0.7087304362304362,0.6629169991577623,0.06597352273965158,20,2500,53,0.7710084214640134,False
deepseek-deepseek-v3.1-terminus,5,ratio_mean,0.4275703658751529,0.4067130764000161,0.04591646459829647,20,2500,53,0.4810696552092937,False
deepseek-deepseek-v3.1-terminus,5,ratio_min,0.07089466089466089,0.08437734436805024,0.03512069639264134,20,2500,53,0.14723883265427376,False
deepseek-deepseek-v3.1-terminus,6,ratio_max,0.7777447552447552,0.7080979262285838,0.06335885364275134,20,2500,53,0.8134337943658594,False
deepseek-deepseek-v3.1-terminus,6,ratio_mean,0.5202713379358554,0.45497796210746017,0.043294337381703976,20,2500,53,0.5267083248224154,False
deepseek-deepseek-v3.1-terminus,6,ratio_min,0.09513888888888888,0.11861290476190477,0.03166849247657573,20,2500,53,0.17441765873015866,False
deepseek-deepseek-v3.1-terminus,7,ratio_max,0.7954004329004329,0.7505533286937656,0.06233752281504864,20,2500,53,0.8524906089399374,False
deepseek-deepseek-v3.1-terminus,7,ratio_mean,0.5124431537651171,0.48111078562480813,0.0475602879237324,20,2500,53,0.5592403561705575,False
deepseek-deepseek-v3.1-terminus,7,ratio_min,0.12142857142857141,0.15692757142857144,0.029493738958684804,20,2500,53,0.21083333333333334,False
openai-gpt-oss-120b,1,ratio_max,0.15504338611874954,0.2856442891019446,0.06566579609915058,20,2500,54,0.39918749150309074,False
openai-gpt-oss-120b,1,ratio_mean,0.15504338611874954,0.2856442891019446,0.06566579609915058,20,2500,54,0.39918749150309074,False
openai-gpt-oss-120b,1,ratio_min,0.15504338611874954,0.2856442891019446,0.06566579609915058,20,2500,54,0.39918749150309074,False
openai-gpt-oss-120b,2,ratio_max,0.45627639368684303,0.4394123240682233,0.0677063969262717,20,2500,54,0.5548082935883106,False
openai-gpt-oss-120b,2,ratio_mean,0.3034456162549354,0.32244599597183227,0.05184369445134237,20,2500,54,0.409157768014593,False
openai-gpt-oss-120b,2,ratio_min,0.10626511130768097,0.17634731462380068,0.048816835946922654,20,2500,54,0.2635152588854214,False
openai-gpt-oss-120b,3,ratio_max,0.5943222048906625,0.5324081802583983,0.06825642194485194,20,2500,54,0.644524383758935,False
openai-gpt-oss-120b,3,ratio_mean,0.35724036577115525,0.350102209150676,0.04641298667438393,20,2500,54,0.42696367052077017,False
openai-gpt-oss-120b,3,ratio_min,0.09325202575202575,0.12341016050289581,0.038411569536727884,20,2500,54,0.19055938322298607,False
openai-gpt-oss-120b,4,ratio_max,0.6418585059300254,0.6021690410048827,0.06634171349309903,20,2500,54,0.7063097647436037,False
openai-gpt-oss-120b,4,ratio_mean,0.3855573270727896,0.3778219981155079,0.04386845773875458,20,2500,54,0.4522779483680082,False
openai-gpt-oss-120b,4,ratio_min,0.071328197945845,0.10162865546218487,0.03664382879229388,20,2500,54,0.1677416549953314,False
openai-gpt-oss-120b,5,ratio_max,0.6958243936862358,0.6600124078027236,0.06579941287229038,20,2500,54,0.7645183496449941,False
openai-gpt-oss-120b,5,ratio_mean,0.44005599854370364,0.40615630188090945,0.045376735476543764,20,2500,54,0.4800859752919631,False
openai-gpt-oss-120b,5,ratio_min,0.07011289364230541,0.08516200976148035,0.03511120542308188,20,2500,54,0.14951756005432476,False
openai-gpt-oss-120b,6,ratio_max,0.7208266674714885,0.7057704229876363,0.06134398221723324,20,2500,54,0.8044320195792741,False
openai-gpt-oss-120b,6,ratio_mean,0.5045315707408532,0.45433736065188934,0.04298372822051175,20,2500,54,0.5267923261323615,False
openai-gpt-oss-120b,6,ratio_min,0.15603174603174602,0.11889607936507934,0.03164699782106423,20,2500,54,0.17774900793650786,False
openai-gpt-oss-120b,7,ratio_max,0.7155812878511087,0.7473944267142397,0.0608765291263126,20,2500,54,0.8457098155467722,False
openai-gpt-oss-120b,7,ratio_mean,0.49167843774374687,0.4788738937188438,0.04679823218285639,20,2500,54,0.5573816054382363,False
openai-gpt-oss-120b,7,ratio_min,0.1582142857142857,0.156077,0.028906851623757536,20,2500,54,0.21096428571428563,False
qwen-qwen-2.5-7b-instruct,1,ratio_max,0.18482027424847208,0.28251766524209654,0.06502239674380993,20,2500,55,0.39242675063292437,False
qwen-qwen-2.5-7b-instruct,1,ratio_mean,0.18482027424847208,0.28251766524209654,0.06502239674380993,20,2500,55,0.39242675063292437,False
qwen-qwen-2.5-7b-instruct,1,ratio_min,0.18482027424847208,0.28251766524209654,0.06502239674380993,20,2500,55,0.39242675063292437,False
qwen-qwen-2.5-7b-instruct,2,ratio_max,0.29343975238400394,0.4359989470893284,0.0678083421637442,20,2500,55,0.5466187123700054,False
qwen-qwen-2.5-7b-instruct,2,ratio_mean,0.236157890786802,0.3193965016429922,0.05109721350122245,20,2500,55,0.40412579498367146,False
qwen-qwen-2.5-7b-instruct,2,ratio_min,0.15349944044603486,0.17313290596606695,0.04788202967653962,20,2500,55,0.2582320185834116,False
qwen-qwen-2.5-7b-instruct,3,ratio_max,0.44730318463888363,0.5301476337003803,0.06895294977601081,20,2500,55,0.6449959817240503,False
qwen-qwen-2.5-7b-instruct,3,ratio_mean,0.2797950983655842,0.34760420264757824,0.046850335728500156,20,2500,55,0.42332115485193483,False
qwen-qwen-2.5-7b-instruct,3,ratio_min,0.1136745036009742,0.1205300218147865,0.03822275787804271,20,2500,55,0.18797700338876805,False
qwen-qwen-2.5-7b-instruct,4,ratio_max,0.580125129539391,0.59930755891378,0.06948279647366659,20,2500,55,0.7124507301673049,False
qwen-qwen-2.5-7b-instruct,4,ratio_mean,0.374814566340158,0.3751094241664878,0.04618932349071775,20,2500,55,0.45396899989939804,False
qwen-qwen-2.5-7b-instruct,4,ratio_min,0.12849439775910365,0.10031987861811391,0.03716669041800783,20,2500,55,0.16676575630252094,False
qwen-qwen-2.5-7b-instruct,5,ratio_max,0.6205739728108149,0.6593318339267944,0.06678331668399702,20,2500,55,0.7661841542959963,False
qwen-qwen-2.5-7b-instruct,5,ratio_mean,0.4202305189642274,0.40452259743443875,0.04671413449006611,20,2500,55,0.4832868455264239,False
qwen-qwen-2.5-7b-instruct,5,ratio_min,0.15571428571428572,0.0841134919361684,0.03536732729632707,20,2500,55,0.14925685425685423,True
qwen-qwen-2.5-7b-instruct,6,ratio_max,0.6031895984805192,0.7058027088367402,0.06453917889903,20,2500,55,0.8142222891943408,False
qwen-qwen-2.5-7b-instruct,6,ratio_mean,0.4245629298256029,0.45357627601584116,0.04470228359969822,20,2500,55,0.5289886338522137,False
qwen-qwen-2.5-7b-instruct,6,ratio_min,0.16091269841269842,0.11849240476190476,0.03170205400919561,20,2500,55,0.1769523809523809,False
qwen-qwen-2.5-7b-instruct,7,ratio_max,0.6279950014109221,0.7489115296135919,0.0624357614467182,20,2500,55,0.8501643115338767,False
qwen-qwen-2.5-7b-instruct,7,ratio_mean,0.45670804425764133,0.47958428331148534,0.0490299633495669,20,2500,55,0.5615814956121336,False
qwen-qwen-2.5-7b-instruct,7,ratio_min,0.17964285714285716,0.15634280952380955,0.028997797633824887,20,2500,55,0.2109107142857142,False
x-ai-grok-4.1-fast,1,ratio_max,0.1699949911106527,0.2863163098537,0.06689390876721626,20,2500,56,0.40085067608245517,False
x-ai-grok-4.1-fast,1,ratio_mean,0.1699949911106527,0.2863163098537,0.06689390876721626,20,2500,56,0.40085067608245517,False
x-ai-grok-4.1-fast,1,ratio_min,0.1699949911106527,0.2863163098537,0.06689390876721626,20,2500,56,0.40085067608245517,False
x-ai-grok-4.1-fast,2,ratio_max,0.3771801363643765,0.44086949949932186,0.06872898319414993,20,2500,56,0.5541259910935109,False
x-ai-grok-4.1-fast,2,ratio_mean,0.2722619518692999,0.3238383604700425,0.05169095903584594,20,2500,56,0.40931225237582913,False
x-ai-grok-4.1-fast,2,ratio_min,0.13613098073237392,0.1766338483790891,0.04693457453622076,20,2500,56,0.26050169073272783,False
x-ai-grok-4.1-fast,3,ratio_max,0.4717452681084269,0.5322267761565644,0.06828208317777541,20,2500,56,0.6438032424694607,False
x-ai-grok-4.1-fast,3,ratio_mean,0.28009340800480126,0.3502136616452854,0.04625086643012988,20,2500,56,0.4263148237484946,False
x-ai-grok-4.1-fast,3,ratio_min,0.09345238095238095,0.12355785959955079,0.037640319923044896,20,2500,56,0.19105253631172742,False
x-ai-grok-4.1-fast,4,ratio_max,0.5757545623589765,0.601245219959111,0.06804854625734989,20,2500,56,0.713547268556288,False
x-ai-grok-4.1-fast,4,ratio_mean,0.3247389772391059,0.37728239330112084,0.04475582088068512,20,2500,56,0.4524015432482388,False
x-ai-grok-4.1-fast,4,ratio_min,0.07517740429505135,0.10138731559290383,0.03640519366761792,20,2500,56,0.17025040849673198,False
x-ai-grok-4.1-fast,5,ratio_max,0.5697251676199044,0.6614014325791168,0.06729618328795937,20,2500,56,0.7715555011508958,False
x-ai-grok-4.1-fast,5,ratio_mean,0.3320602112315149,0.407020065987118,0.045440556169845714,20,2500,56,0.48408627649593283,False
x-ai-grok-4.1-fast,5,ratio_min,0.08049274255156608,0.08483924760207112,0.0356773974917633,20,2500,56,0.15168237522281638,False
x-ai-grok-4.1-fast,6,ratio_max,0.6751874795896534,0.7080384068837308,0.06328651996984001,20,2500,56,0.8098779344302207,False
x-ai-grok-4.1-fast,6,ratio_mean,0.43143225009118796,0.45543211488294466,0.042734042072897944,20,2500,56,0.5293305903685582,False
x-ai-grok-4.1-fast,6,ratio_min,0.11222222222222222,0.11938881746031747,0.03195549129619225,20,2500,56,0.17817658730158728,False
x-ai-grok-4.1-fast,7,ratio_max,0.727884181036355,0.7493832297892943,0.06164577424962243,20,2500,56,0.8454255350211589,False
x-ai-grok-4.1-fast,7,ratio_mean,0.5006915699014258,0.4804233418105835,0.04675014190491788,20,2500,56,0.5561224734290908,False
x-ai-grok-4.1-fast,7,ratio_min,0.1706547619047619,0.1567205238095238,0.029019713518173663,20,2500,56,0.20966666666666656,False
