model,k,metric,observed_mean,observed_std
deepseek-deepseek-v3.1-terminus,1,ratio_max,0.5835470668764711,0.23083545085307794
deepseek-deepseek-v3.1-terminus,1,ratio_mean,0.5835470668764711,0.23083545085307794
deepseek-deepseek-v3.1-terminus,1,ratio_min,0.5835470668764711,0.23083545085307794
deepseek-deepseek-v3.1-terminus,2,ratio_max,0.642676776443812,0.19681501251732084
deepseek-deepseek-v3.1-terminus,2,ratio_mean,0.6059363304710537,0.14480512801771797
deepseek-deepseek-v3.1-terminus,2,ratio_min,0.5703121111297156,0.1198555594732566
deepseek-deepseek-v3.1-terminus,3,ratio_max,0.685509592661186,0.22180633071500008
deepseek-deepseek-v3.1-terminus,3,ratio_mean,0.6447697400980815,0.12247632535061372
deepseek-deepseek-v3.1-terminus,3,ratio_min,0.586889617871257,0.1079485093947494
deepseek-deepseek-v3.1-terminus,4,ratio_max,0.7988866359361269,0.21065708091875748
deepseek-deepseek-v3.1-terminus,4,ratio_mean,0.7148347581173163,0.09377304498484436
deepseek-deepseek-v3.1-terminus,4,ratio_min,0.6345485531705419,0.1367510146878016
deepseek-deepseek-v3.1-terminus,5,ratio_max,0.836673992257966,0.20126773985839122
deepseek-deepseek-v3.1-terminus,5,ratio_mean,0.7455971357041593,0.09591484125948693
deepseek-deepseek-v3.1-terminus,5,ratio_min,0.6635128066378067,0.12350297027143839
deepseek-deepseek-v3.1-terminus,6,ratio_max,0.882933825381814,0.16004137620255057
deepseek-deepseek-v3.1-terminus,6,ratio_mean,0.8000171166557772,0.10315696133726177
deepseek-deepseek-v3.1-terminus,6,ratio_min,0.7138355504144978,0.12389424562894008
deepseek-deepseek-v3.1-terminus,7,ratio_max,0.8984510667611243,0.15161944470280955
deepseek-deepseek-v3.1-terminus,7,ratio_mean,0.8241443014278115,0.08819063516571059
deepseek-deepseek-v3.1-terminus,7,ratio_min,0.7413176370413213,0.13102505549211438
openai-gpt-oss-120b,1,ratio_max,0.4659970234838461,0.13804085416236506
openai-gpt-oss-120b,1,ratio_mean,0.4659970234838461,0.13804085416236506
openai-gpt-oss-120b,1,ratio_min,0.4659970234838461,0.13804085416236506
openai-gpt-oss-120b,2,ratio_max,0.6559270343852426,0.21115578236907798
openai-gpt-oss-120b,2,ratio_mean,0.5912198468347136,0.12523707873508752
openai-gpt-oss-120b,2,ratio_min,0.5234471118173477,0.10973677316101092
openai-gpt-oss-120b,3,ratio_max,0.752622251937712,0.19487742790645046
openai-gpt-oss-120b,3,ratio_mean,0.6514642977909351,0.10126525625898133
openai-gpt-oss-120b,3,ratio_min,0.5587847004183162,0.09672096050034955
openai-gpt-oss-120b,4,ratio_max,0.7826067239874015,0.2011155854088327
openai-gpt-oss-120b,4,ratio_mean,0.6912644208856358,0.10905043198069254
openai-gpt-oss-120b,4,ratio_min,0.6065280396177944,0.10686074945124566
openai-gpt-oss-120b,5,ratio_max,0.8076293484217907,0.19076810159982205
