model,k,metric,observed_mean,observed_std
deepseek-deepseek-v3.1-terminus,1,ratio_max,0.19124678007685073,0.23347861003318496
deepseek-deepseek-v3.1-terminus,1,ratio_mean,0.19124678007685073,0.23347861003318496
deepseek-deepseek-v3.1-terminus,1,ratio_min,0.19124678007685073,0.23347861003318496
deepseek-deepseek-v3.1-terminus,2,ratio_max,0.4243993227526133,0.35933421391713843
deepseek-deepseek-v3.1-terminus,2,ratio_mean,0.30396406035633705,0.2521037921727879
deepseek-deepseek-v3.1-terminus,2,ratio_min,0.15603544331485508,0.2343514613622913
deepseek-deepseek-v3.1-terminus,3,ratio_max,0.5465009072061713,0.3546727385849598
deepseek-deepseek-v3.1-terminus,3,ratio_mean,0.3701905917519527,0.2237399369037675
deepseek-deepseek-v3.1-terminus,3,ratio_min,0.16050207961972668,0.222618636889245
deepseek-deepseek-v3.1-terminus,4,ratio_max,0.5705409234229268,0.32933499809740446
deepseek-deepseek-v3.1-terminus,4,ratio_mean,0.35410389105284795,0.20153133283934477
deepseek-deepseek-v3.1-terminus,4,ratio_min,0.11319327731092439,0.15418227755146718
deepseek-deepseek-v3.1-terminus,5,ratio_max,0.6562344234712656,0.3174847167686323
deepseek-deepseek-v3.1-terminus,5,ratio_mean,0.38568234979343013,0.19716602054841606
deepseek-deepseek-v3.1-terminus,5,ratio_min,0.10611111111111111,0.17215052270944692
deepseek-deepseek-v3.1-terminus,6,ratio_max,0.7604844973866712,0.26785897512693124
deepseek-deepseek-v3.1-terminus,6,ratio_mean,0.46601008272918065,0.21251144059083582
deepseek-deepseek-v3.1-terminus,6,ratio_min,0.15912698412698414,0.2798789726443913
deepseek-deepseek-v3.1-terminus,7,ratio_max,0.7982484001505741,0.2743607584308293
deepseek-deepseek-v3.1-terminus,7,ratio_mean,0.5296343467679121,0.24052733527318204
deepseek-deepseek-v3.1-terminus,7,ratio_min,0.23928571428571424,0.37113163698075546
