model,k,metric,observed_mean,observed_std
openai-gpt-oss-120b,1,ratio_max,0.2509549426012738,0.29601919223653744
openai-gpt-oss-120b,1,ratio_mean,0.2509549426012738,0.29601919223653744
openai-gpt-oss-120b,1,ratio_min,0.2509549426012738,0.29601919223653744
openai-gpt-oss-120b,2,ratio_max,0.46975767581577177,0.36496860433878237
openai-gpt-oss-120b,2,ratio_mean,0.3443376875105309,0.2673921627106019
openai-gpt-oss-120b,2,ratio_min,0.1847891363022942,0.215600836241019
openai-gpt-oss-120b,3,ratio_max,0.5705700051759833,0.3682623920659925
openai-gpt-oss-120b,3,ratio_mean,0.3841376427456701,0.21174785895226805
openai-gpt-oss-120b,3,ratio_min,0.16117784992784992,0.17307376505190145
openai-gpt-oss-120b,4,ratio_max,0.6257461132057905,0.32413659216553353
openai-gpt-oss-120b,4,ratio_mean,0.38893724865841117,0.1728409686816362
openai-gpt-oss-120b,4,ratio_min,0.12160597572362279,0.129096852584502
openai-gpt-oss-120b,5,ratio_max,0.632391081141081,0.35653578133131125
openai-gpt-oss-120b,5,ratio_mean,0.403016250906686,0.19218912138036262
openai-gpt-oss-120b,5,ratio_min,0.06599673202614378,0.09877993742775357
openai-gpt-oss-120b,6,ratio_max,0.7457162118926826,0.31772224026331003
openai-gpt-oss-120b,6,ratio_mean,0.5054245562634518,0.22546907831708524
openai-gpt-oss-120b,6,ratio_min,0.13595238095238096,0.2641630820273606
openai-gpt-oss-120b,7,ratio_max,0.7705005941770647,0.3062002936546444
openai-gpt-oss-120b,7,ratio_mean,0.5062135587942636,0.2583730901624767
openai-gpt-oss-120b,7,ratio_min,0.19249999999999998,0.3610606127534148
