model,k,metric,observed_mean,observed_std
openai-gpt-oss-120b,1,ratio_max,0.5172016498085209,0.21341604226357305
openai-gpt-oss-120b,1,ratio_mean,0.5172016498085209,0.21341604226357305
openai-gpt-oss-120b,1,ratio_min,0.5172016498085209,0.21341604226357305
openai-gpt-oss-120b,2,ratio_max,0.6656069411888377,0.24323573457340214
openai-gpt-oss-120b,2,ratio_mean,0.6098476809757488,0.1780901157388398
openai-gpt-oss-120b,2,ratio_min,0.5512203799699262,0.16099204145435536
openai-gpt-oss-120b,3,ratio_max,0.7491934585446449,0.22134632328165377
openai-gpt-oss-120b,3,ratio_mean,0.6639386944842534,0.11937755437401742
openai-gpt-oss-120b,3,ratio_min,0.5840082422142461,0.12869427688537277
openai-gpt-oss-120b,4,ratio_max,0.7884738183647348,0.2031084798717042
openai-gpt-oss-120b,4,ratio_mean,0.6962933425953415,0.09652323262560798
openai-gpt-oss-120b,4,ratio_min,0.6246747557334208,0.11367593455108063
openai-gpt-oss-120b,5,ratio_max,0.8103331651890185,0.20093626454949984
openai-gpt-oss-120b,5,ratio_mean,0.7331330272322402,0.10069514193506855
openai-gpt-oss-120b,5,ratio_min,0.6584424603174603,0.11767681387428867
openai-gpt-oss-120b,6,ratio_max,0.8471815855660363,0.19542989186036344
openai-gpt-oss-120b,6,ratio_mean,0.7774268957849397,0.12226010989041813
openai-gpt-oss-120b,6,ratio_min,0.7171402062849432,0.1404424701747956
openai-gpt-oss-120b,7,ratio_max,0.8622789881634387,0.19375132929484126
openai-gpt-oss-120b,7,ratio_mean,0.8034199621681941,0.11386079115782377
openai-gpt-oss-120b,7,ratio_min,0.7518419044405887,0.14423420362898984
