model,k,metric,observed_mean,observed_std
qwen-qwen-2.5-7b-instruct,1,ratio_max,0.21087373019359273,0.24259754248997953
qwen-qwen-2.5-7b-instruct,1,ratio_mean,0.21087373019359273,0.24259754248997953
qwen-qwen-2.5-7b-instruct,1,ratio_min,0.21087373019359273,0.24259754248997953
qwen-qwen-2.5-7b-instruct,2,ratio_max,0.3299049457101023,0.3230205876582199
qwen-qwen-2.5-7b-instruct,2,ratio_mean,0.2655935791111514,0.25727463570789855
qwen-qwen-2.5-7b-instruct,2,ratio_min,0.17019522144522145,0.19280247565567604
qwen-qwen-2.5-7b-instruct,3,ratio_max,0.45732946261831486,0.3263929459162064
qwen-qwen-2.5-7b-instruct,3,ratio_mean,0.30167754373473465,0.2092433725952504
qwen-qwen-2.5-7b-instruct,3,ratio_min,0.12835616997381702,0.1695114697027344
qwen-qwen-2.5-7b-instruct,4,ratio_max,0.5258544087491456,0.2872752106836099
qwen-qwen-2.5-7b-instruct,4,ratio_mean,0.33980370558881445,0.16446174169804442
qwen-qwen-2.5-7b-instruct,4,ratio_min,0.08105042016806722,0.10311425915069515
qwen-qwen-2.5-7b-instruct,5,ratio_max,0.5200155716603085,0.33897667169404466
qwen-qwen-2.5-7b-instruct,5,ratio_mean,0.34569629177393546,0.2155980987923228
qwen-qwen-2.5-7b-instruct,5,ratio_min,0.08704545454545454,0.12734435878198644
qwen-qwen-2.5-7b-instruct,6,ratio_max,0.6231246805181897,0.3180922919981119
qwen-qwen-2.5-7b-instruct,6,ratio_mean,0.4161599888803722,0.21799984327132477
qwen-qwen-2.5-7b-instruct,6,ratio_min,0.11555555555555555,0.2527590259920673
qwen-qwen-2.5-7b-instruct,7,ratio_max,0.6836696692984725,0.2997401420859778
qwen-qwen-2.5-7b-instruct,7,ratio_mean,0.40878792997487656,0.221769749891061
qwen-qwen-2.5-7b-instruct,7,ratio_min,0.15380952380952378,0.3127443787274005
