model,k,metric,observed_mean,observed_std
qwen-qwen-2.5-7b-instruct,1,ratio_max,0.4967260967721302,0.1872025984543318
qwen-qwen-2.5-7b-instruct,1,ratio_mean,0.4967260967721302,0.1872025984543318
qwen-qwen-2.5-7b-instruct,1,ratio_min,0.4967260967721302,0.1872025984543318
qwen-qwen-2.5-7b-instruct,2,ratio_max,0.5864596287226924,0.22250103079318195
qwen-qwen-2.5-7b-instruct,2,ratio_mean,0.568023965483189,0.1696938414626222
qwen-qwen-2.5-7b-instruct,2,ratio_min,0.5514895662617986,0.1336354549808235
qwen-qwen-2.5-7b-instruct,3,ratio_max,0.6758883316090624,0.20632404088403075
qwen-qwen-2.5-7b-instruct,3,ratio_mean,0.6156478448301583,0.1290964286246799
qwen-qwen-2.5-7b-instruct,3,ratio_min,0.5688636775135139,0.1289205798914433
qwen-qwen-2.5-7b-instruct,4,ratio_max,0.7248499303260064,0.18641402786478287
qwen-qwen-2.5-7b-instruct,4,ratio_mean,0.6657301973476313,0.10718546397089256
qwen-qwen-2.5-7b-instruct,4,ratio_min,0.6083834471413054,0.11316823851420965
qwen-qwen-2.5-7b-instruct,5,ratio_max,0.7397640484659311,0.19752804149857414
qwen-qwen-2.5-7b-instruct,5,ratio_mean,0.7007547581794946,0.11753598179792796
qwen-qwen-2.5-7b-instruct,5,ratio_min,0.6685723304473303,0.11471039548294629
qwen-qwen-2.5-7b-instruct,6,ratio_max,0.782535183906614,0.18936886912337644
qwen-qwen-2.5-7b-instruct,6,ratio_mean,0.7395168688321808,0.11687487132960496
qwen-qwen-2.5-7b-instruct,6,ratio_min,0.7184810182507552,0.1299234097240483
qwen-qwen-2.5-7b-instruct,7,ratio_max,0.8312879351905466,0.1550631847646812
qwen-qwen-2.5-7b-instruct,7,ratio_mean,0.7687706666622472,0.11343806534239988
qwen-qwen-2.5-7b-instruct,7,ratio_min,0.7506517873681187,0.1328582076494348
