model,k,metric,observed_mean,observed_std
x-ai-grok-4.1-fast,1,ratio_max,0.2740549541983461,0.3069629747393198
x-ai-grok-4.1-fast,1,ratio_mean,0.2740549541983461,0.3069629747393198
x-ai-grok-4.1-fast,1,ratio_min,0.2740549541983461,0.3069629747393198
x-ai-grok-4.1-fast,2,ratio_max,0.3435276862736324,0.3207653318306621
x-ai-grok-4.1-fast,2,ratio_mean,0.25603208556031054,0.25639612801162565
x-ai-grok-4.1-fast,2,ratio_min,0.1380082701096633,0.2218328417533273
x-ai-grok-4.1-fast,3,ratio_max,0.39007985081707264,0.2971411693671215
x-ai-grok-4.1-fast,3,ratio_mean,0.26391695171892715,0.23346431926156844
x-ai-grok-4.1-fast,3,ratio_min,0.10259920634920634,0.22843140447140658
x-ai-grok-4.1-fast,4,ratio_max,0.5887592331268052,0.3096366510957386
x-ai-grok-4.1-fast,4,ratio_mean,0.34719759821559876,0.17233510267777788
x-ai-grok-4.1-fast,4,ratio_min,0.05962184873949579,0.1024652558208302
x-ai-grok-4.1-fast,5,ratio_max,0.6104282510861457,0.3231267536138102
x-ai-grok-4.1-fast,5,ratio_mean,0.35267517304807516,0.17726740882963982
x-ai-grok-4.1-fast,5,ratio_min,0.04207070707070707,0.09650633300195934
x-ai-grok-4.1-fast,6,ratio_max,0.6792278836300575,0.26903470688841663
x-ai-grok-4.1-fast,6,ratio_mean,0.413632157890879,0.19947154801143627
x-ai-grok-4.1-fast,6,ratio_min,0.08055555555555556,0.23028149003420065
x-ai-grok-4.1-fast,7,ratio_max,0.758940902093076,0.30221332212920476
x-ai-grok-4.1-fast,7,ratio_mean,0.4702998889815679,0.2518190354146192
x-ai-grok-4.1-fast,7,ratio_min,0.13541666666666666,0.30970976556913554
