model,k,metric,observed_mean,observed_std
x-ai-grok-4.1-fast,1,ratio_max,0.5448551153643193,0.21646643194694884
x-ai-grok-4.1-fast,1,ratio_mean,0.5448551153643193,0.21646643194694884
x-ai-grok-4.1-fast,1,ratio_min,0.5448551153643193,0.21646643194694884
x-ai-grok-4.1-fast,2,ratio_max,0.5932301857200963,0.2096615557954735
x-ai-grok-4.1-fast,2,ratio_mean,0.5605274907972589,0.16540755968735216
x-ai-grok-4.1-fast,2,ratio_min,0.5279249471744936,0.15347901023530683
x-ai-grok-4.1-fast,3,ratio_max,0.6306885030873403,0.2011394748825282
x-ai-grok-4.1-fast,3,ratio_mean,0.5917536788424098,0.15106591508487308
x-ai-grok-4.1-fast,3,ratio_min,0.553568221683802,0.14441042729046039
x-ai-grok-4.1-fast,4,ratio_max,0.754080174614814,0.21413772777766235
x-ai-grok-4.1-fast,4,ratio_mean,0.6668181889915525,0.12088425608450405
x-ai-grok-4.1-fast,4,ratio_min,0.5977353277486208,0.11077742850788533
x-ai-grok-4.1-fast,5,ratio_max,0.7944881294836557,0.18459481821317403
x-ai-grok-4.1-fast,5,ratio_mean,0.7068002512027949,0.10161170914739331
x-ai-grok-4.1-fast,5,ratio_min,0.6503607503607504,0.1169655578848892
x-ai-grok-4.1-fast,6,ratio_max,0.8251997044362174,0.16755908986888607
x-ai-grok-4.1-fast,6,ratio_mean,0.7461476929238414,0.10277391758327188
x-ai-grok-4.1-fast,6,ratio_min,0.7026623048004629,0.13462423878993385
x-ai-grok-4.1-fast,7,ratio_max,0.8862325296232492,0.14671074897302555
x-ai-grok-4.1-fast,7,ratio_mean,0.8016937412751457,0.0991926641857004
x-ai-grok-4.1-fast,7,ratio_min,0.7422825493220231,0.1367791726988763
