model,k,metric,observed_mean,random_mean,random_std,n_prompts,num_permutations,seed,p95,above_p95
deepseek-deepseek-v3.1-terminus,1,ratio_max,0.19124678007685073,0.2825064679900755,0.065081320822329,20,2500,57,0.39525228680193863,False
deepseek-deepseek-v3.1-terminus,1,ratio_mean,0.19124678007685073,0.2825064679900755,0.065081320822329,20,2500,57,0.39525228680193863,False
deepseek-deepseek-v3.1-terminus,1,ratio_min,0.19124678007685073,0.2825064679900755,0.065081320822329,20,2500,57,0.39525228680193863,False
deepseek-deepseek-v3.1-terminus,2,ratio_max,0.4243993227526133,0.4356195875280007,0.0678121106588065,20,2500,57,0.547580210085775,False
deepseek-deepseek-v3.1-terminus,2,ratio_mean,0.30396406035633705,0.3198414868703121,0.051654127891083756,20,2500,57,0.4084243785293423,False
deepseek-deepseek-v3.1-terminus,2,ratio_min,0.15603544331485508,0.1743500407799974,0.04810271588759999,20,2500,57,0.2598395765096616,False
deepseek-deepseek-v3.1-terminus,3,ratio_max,0.5465009072061713,0.5298581888213161,0.06768953421991063,20,2500,57,0.6394460458719574,False
deepseek-deepseek-v3.1-terminus,3,ratio_mean,0.3701905917519527,0.34771513028422446,0.04703533897041053,20,2500,57,0.42707338559963953,False
deepseek-deepseek-v3.1-terminus,3,ratio_min,0.16050207961972668,0.12198340881993822,0.03811827403923687,20,2500,57,0.1892359843995873,False
deepseek-deepseek-v3.1-terminus,4,ratio_max,0.5705409234229268,0.6015592580645162,0.06748281010057534,20,2500,57,0.7135138555087621,False
deepseek-deepseek-v3.1-terminus,4,ratio_mean,0.35410389105284795,0.3770125762280849,0.04575286454326208,20,2500,57,0.45233024215057793,False
deepseek-deepseek-v3.1-terminus,4,ratio_min,0.11319327731092439,0.10000057329598505,0.037221117109484884,20,2500,57,0.16845728291316484,False
deepseek-deepseek-v3.1-terminus,5,ratio_max,0.6562344234712656,0.6619256413148256,0.06704392346938938,20,2500,57,0.7671027687590187,False
deepseek-deepseek-v3.1-terminus,5,ratio_mean,0.38568234979343013,0.40704166942909453,0.046460242418005344,20,2500,57,0.48046360797254195,False
deepseek-deepseek-v3.1-terminus,5,ratio_min,0.10611111111111111,0.08400499588320176,0.03447937658019396,20,2500,57,0.14624848272642388,False
deepseek-deepseek-v3.1-terminus,6,ratio_max,0.7604844973866712,0.7081406259154462,0.0639088362898717,20,2500,57,0.8104402659538528,False
deepseek-deepseek-v3.1-terminus,6,ratio_mean,0.46601008272918065,0.45540402339327263,0.04375980381993304,20,2500,57,0.5282508184507998,False
deepseek-deepseek-v3.1-terminus,6,ratio_min,0.15912698412698414,0.11934273015873016,0.032401687154487845,20,2500,57,0.1769880952380952,False
deepseek-deepseek-v3.1-terminus,7,ratio_max,0.7982484001505741,0.7493595255132199,0.060640162824527374,20,2500,57,0.8463256572835376,False
deepseek-deepseek-v3.1-terminus,7,ratio_mean,0.5296343467679121,0.48048944133712995,0.04687760805669162,20,2500,57,0.557912754214345,False
deepseek-deepseek-v3.1-terminus,7,ratio_min,0.23928571428571424,0.15666614285714286,0.0292774855792152,20,2500,57,0.21416666666666667,True
openai-gpt-oss-120b,1,ratio_max,0.2509549426012738,0.2852959400462076,0.06497937709676686,20,2500,58,0.3933101587890415,False
openai-gpt-oss-120b,1,ratio_mean,0.2509549426012738,0.2852959400462076,0.06497937709676686,20,2500,58,0.3933101587890415,False
openai-gpt-oss-120b,1,ratio_min,0.2509549426012738,0.2852959400462076,0.06497937709676686,20,2500,58,0.3933101587890415,False
openai-gpt-oss-120b,2,ratio_max,0.46975767581577177,0.4390401899209885,0.06751226710134721,20,2500,58,0.549692509195106,False
openai-gpt-oss-120b,2,ratio_mean,0.3443376875105309,0.32145203326177063,0.05138355531611657,20,2500,58,0.40546788614158263,False
openai-gpt-oss-120b,2,ratio_min,0.1847891363022942,0.17421087781722921,0.04807938162708174,20,2500,58,0.2575541231644172,False
openai-gpt-oss-120b,3,ratio_max,0.5705700051759833,0.5330633889621604,0.06767095059043728,20,2500,58,0.6449962105217754,False
openai-gpt-oss-120b,3,ratio_mean,0.3841376427456701,0.3493132317548829,0.0462900472975651,20,2500,58,0.42752753526604814,False
openai-gpt-oss-120b,3,ratio_min,0.16117784992784992,0.12150243569828863,0.03734287998900021,20,2500,58,0.18729908959504546,False
openai-gpt-oss-120b,4,ratio_max,0.6257461132057905,0.6028157110475356,0.06671978636365603,20,2500,58,0.713843043964383,False
openai-gpt-oss-120b,4,ratio_mean,0.38893724865841117,0.37759313257162047,0.044501447744238185,20,2500,58,0.4534716235000975,False
openai-gpt-oss-120b,4,ratio_min,0.12160597572362279,0.1020276862745098,0.03679438113516385,20,2500,58,0.16920745798319323,False
openai-gpt-oss-120b,5,ratio_max,0.632391081141081,0.6608928639046139,0.0660508192766626,20,2500,58,0.7657644814371789,False
openai-gpt-oss-120b,5,ratio_mean,0.403016250906686,0.40681123030209876,0.046196056745314025,20,2500,58,0.48238015254332006,False
openai-gpt-oss-120b,5,ratio_min,0.06599673202614378,0.08473363606654784,0.03559461937819347,20,2500,58,0.15042514430014425,False
openai-gpt-oss-120b,6,ratio_max,0.7457162118926826,0.7077229204479952,0.06484657672279444,20,2500,58,0.8161057122910845,False
openai-gpt-oss-120b,6,ratio_mean,0.5054245562634518,0.45587424229036316,0.0434286090401317,20,2500,58,0.5299166927968838,False
openai-gpt-oss-120b,6,ratio_min,0.13595238095238096,0.11993268253968253,0.03207250949084193,20,2500,58,0.1771021825396824,False
openai-gpt-oss-120b,7,ratio_max,0.7705005941770647,0.748346825915043,0.06200191581833433,20,2500,58,0.8492309791773863,False
openai-gpt-oss-120b,7,ratio_mean,0.5062135587942636,0.48050925260343147,0.04731296913375147,20,2500,58,0.5577776932839212,False
openai-gpt-oss-120b,7,ratio_min,0.19249999999999998,0.15692488095238094,0.029356386878190716,20,2500,58,0.20936011904761895,False
qwen-qwen-2.5-7b-instruct,1,ratio_max,0.21087373019359273,0.28476752169417513,0.065137329458512,20,2500,59,0.39661994357451147,False
qwen-qwen-2.5-7b-instruct,1,ratio_mean,0.21087373019359273,0.28476752169417513,0.065137329458512,20,2500,59,0.39661994357451147,False
qwen-qwen-2.5-7b-instruct,1,ratio_min,0.21087373019359273,0.28476752169417513,0.065137329458512,20,2500,59,0.39661994357451147,False
qwen-qwen-2.5-7b-instruct,2,ratio_max,0.3299049457101023,0.43667375794691515,0.06740565248240639,20,2500,59,0.5497362165792816,False
qwen-qwen-2.5-7b-instruct,2,ratio_mean,0.2655935791111514,0.32051507581545174,0.05131626341467655,20,2500,59,0.4072652296478738,False
qwen-qwen-2.5-7b-instruct,2,ratio_min,0.17019522144522145,0.17520041703609426,0.048039145956352676,20,2500,59,0.25769449171829195,False
qwen-qwen-2.5-7b-instruct,3,ratio_max,0.45732946261831486,0.5313793979733191,0.06734475254523521,20,2500,59,0.6400287402899427,False
qwen-qwen-2.5-7b-instruct,3,ratio_mean,0.30167754373473465,0.3490704375772501,0.04673325548846489,20,2500,59,0.4259646062961943,False
qwen-qwen-2.5-7b-instruct,3,ratio_min,0.12835616997381702,0.12264571128707893,0.03834784571708194,20,2500,59,0.19006236533074766,False
qwen-qwen-2.5-7b-instruct,4,ratio_max,0.5258544087491456,0.6012514037268145,0.06837215214963695,20,2500,59,0.7098461328510669,False
qwen-qwen-2.5-7b-instruct,4,ratio_mean,0.33980370558881445,0.3773991886353327,0.0454558565850098,20,2500,59,0.45283881526771286,False
qwen-qwen-2.5-7b-instruct,4,ratio_min,0.08105042016806722,0.10154915779645192,0.03745071659169453,20,2500,59,0.1683976423902894,False
qwen-qwen-2.5-7b-instruct,5,ratio_max,0.5200155716603085,0.6618561726898832,0.06589102804578115,20,2500,59,0.7706202684377025,False
qwen-qwen-2.5-7b-instruct,5,ratio_mean,0.34569629177393546,0.40715032292499975,0.04547413139511747,20,2500,59,0.48441152713730823,False
qwen-qwen-2.5-7b-instruct,5,ratio_min,0.08704545454545454,0.08503060814022578,0.036046945323862045,20,2500,59,0.15039953102453096,False
qwen-qwen-2.5-7b-instruct,6,ratio_max,0.6231246805181897,0.707425327626731,0.0637138267804715,20,2500,59,0.8120815049363201,False
qwen-qwen-2.5-7b-instruct,6,ratio_mean,0.4161599888803722,0.4552313484729748,0.04296130037657114,20,2500,59,0.5288300063896684,False
qwen-qwen-2.5-7b-instruct,6,ratio_min,0.11555555555555555,0.11936796031746033,0.03213329575895285,20,2500,59,0.17893452380952377,False
qwen-qwen-2.5-7b-instruct,7,ratio_max,0.6836696692984725,0.7490632523533095,0.06149615878119424,20,2500,59,0.848748161831089,False
qwen-qwen-2.5-7b-instruct,7,ratio_mean,0.40878792997487656,0.48047584860391745,0.04691639347145367,20,2500,59,0.5575295057398748,False
qwen-qwen-2.5-7b-instruct,7,ratio_min,0.15380952380952378,0.15634800000000001,0.029621143994218165,20,2500,59,0.21333333333333332,False
