model,k,metric,observed_mean,random_mean,random_std,n_prompts,num_permutations,seed,p95,above_p95
deepseek-deepseek-v3.1-terminus,1,ratio_max,0.4864661708620967,0.5432824501828931,0.04013319880042949,20,2500,57,0.6136615510716834,False
deepseek-deepseek-v3.1-terminus,1,ratio_mean,0.4864661708620967,0.5432824501828931,0.04013319880042949,20,2500,57,0.6136615510716834,False
deepseek-deepseek-v3.1-terminus,1,ratio_min,0.4864661708620967,0.5432824501828931,0.04013319880042949,20,2500,57,0.6136615510716834,False
deepseek-deepseek-v3.1-terminus,2,ratio_max,0.6344471764105686,0.6411550096526315,0.04209174067628782,20,2500,57,0.7119449217807535,False
deepseek-deepseek-v3.1-terminus,2,ratio_mean,0.5841210909136454,0.5959143639868038,0.030233050618090004,20,2500,57,0.6480493566875213,False
deepseek-deepseek-v3.1-terminus,2,ratio_min,0.5362226914722378,0.5524053908700794,0.02484334729714542,20,2500,57,0.5965444980000787,False
deepseek-deepseek-v3.1-terminus,3,ratio_max,0.7254060531647795,0.706429548440463,0.04141412966414316,20,2500,57,0.7766861580752071,False
deepseek-deepseek-v3.1-terminus,3,ratio_mean,0.6489908562259841,0.6376776637654051,0.02560041836684828,20,2500,57,0.6801936961244004,False
deepseek-deepseek-v3.1-terminus,3,ratio_min,0.5817498629654887,0.5690632963978143,0.017638340866471723,20,2500,57,0.5996157006368085,False
deepseek-deepseek-v3.1-terminus,4,ratio_max,0.763738102471405,0.7557397960901843,0.040328006632669035,20,2500,57,0.8236529583612382,False
deepseek-deepseek-v3.1-terminus,4,ratio_mean,0.6721228278988997,0.6785700443328923,0.022794941642547584,20,2500,57,0.7168512327489424,False
deepseek-deepseek-v3.1-terminus,4,ratio_min,0.6192470521353453,0.6136182481652888,0.014485050797070766,20,2500,57,0.6398978140244224,False
deepseek-deepseek-v3.1-terminus,5,ratio_max,0.8234731134970918,0.7941607281265849,0.03951594127581608,20,2500,57,0.8586366691412564,False
deepseek-deepseek-v3.1-terminus,5,ratio_mean,0.7239723388237723,0.7169455184080631,0.02058635696646606,20,2500,57,0.7500354283368273,False
deepseek-deepseek-v3.1-terminus,5,ratio_min,0.6746924603174602,0.6621129101731602,0.011116153528983605,20,2500,57,0.6820679112554113,False
deepseek-deepseek-v3.1-terminus,6,ratio_max,0.8578261155674852,0.8251629487946442,0.03765569197334641,20,2500,57,0.8875386721283767,False
deepseek-deepseek-v3.1-terminus,6,ratio_mean,0.7651862245228321,0.753757866993689,0.01862572270284572,20,2500,57,0.7847256306334032,False
deepseek-deepseek-v3.1-terminus,6,ratio_min,0.7279400825782406,0.715248089888182,0.00937458848825708,20,2500,57,0.7318851033834588,False
deepseek-deepseek-v3.1-terminus,7,ratio_max,0.8811398985586875,0.8504979819005973,0.03567303699683595,20,2500,57,0.9094048158263845,False
deepseek-deepseek-v3.1-terminus,7,ratio_mean,0.8110249235048919,0.7852728063514394,0.01656533901617937,20,2500,57,0.8129335397359676,False
deepseek-deepseek-v3.1-terminus,7,ratio_min,0.7693772468501572,0.7488561578304737,0.007662873889888309,20,2500,57,0.7626581897097572,True
openai-gpt-oss-120b,1,ratio_max,0.5172016498085209,0.5448452584883237,0.03963066613277997,20,2500,58,0.6115412496525399,False
openai-gpt-oss-120b,1,ratio_mean,0.5172016498085209,0.5448452584883237,0.03963066613277997,20,2500,58,0.6115412496525399,False
openai-gpt-oss-120b,1,ratio_min,0.5172016498085209,0.5448452584883237,0.03963066613277997,20,2500,58,0.6115412496525399,False
openai-gpt-oss-120b,2,ratio_max,0.6656069411888377,0.642904430636482,0.04167751636251877,20,2500,58,0.7125443053778993,False
