model,k,metric,observed_mean,observed_std
deepseek-deepseek-v3.1-terminus,1,ratio_max,0.4864661708620967,0.17751968906320476
deepseek-deepseek-v3.1-terminus,1,ratio_mean,0.4864661708620967,0.17751968906320476
deepseek-deepseek-v3.1-terminus,1,ratio_min,0.4864661708620967,0.17751968906320476
deepseek-deepseek-v3.1-terminus,2,ratio_max,0.6344471764105686,0.24991842025988104
deepseek-deepseek-v3.1-terminus,2,ratio_mean,0.5841210909136454,0.1788117217838542
deepseek-deepseek-v3.1-terminus,2,ratio_min,0.5362226914722378,0.16336122426510222
deepseek-deepseek-v3.1-terminus,3,ratio_max,0.7254060531647795,0.24131262760505715
deepseek-deepseek-v3.1-terminus,3,ratio_mean,0.6489908562259841,0.1543680719884423
deepseek-deepseek-v3.1-terminus,3,ratio_min,0.5817498629654887,0.14720735768114726
deepseek-deepseek-v3.1-terminus,4,ratio_max,0.763738102471405,0.20264976385599895
deepseek-deepseek-v3.1-terminus,4,ratio_mean,0.6721228278988997,0.1276947757643872
deepseek-deepseek-v3.1-terminus,4,ratio_min,0.6192470521353453,0.12588433165459478
deepseek-deepseek-v3.1-terminus,5,ratio_max,0.8234731134970918,0.18073601677704912
deepseek-deepseek-v3.1-terminus,5,ratio_mean,0.7239723388237723,0.10352848150560957
deepseek-deepseek-v3.1-terminus,5,ratio_min,0.6746924603174602,0.12264613965266258
deepseek-deepseek-v3.1-terminus,6,ratio_max,0.8578261155674852,0.17679471713425246
deepseek-deepseek-v3.1-terminus,6,ratio_mean,0.7651862245228321,0.1133279504728925
deepseek-deepseek-v3.1-terminus,6,ratio_min,0.7279400825782406,0.13682486085799186
deepseek-deepseek-v3.1-terminus,7,ratio_max,0.8811398985586875,0.17825819811188537
deepseek-deepseek-v3.1-terminus,7,ratio_mean,0.8110249235048919,0.10933056475359945
deepseek-deepseek-v3.1-terminus,7,ratio_min,0.7693772468501572,0.14121110374561238
openai-gpt-oss-120b,1,ratio_max,0.5172016498085209,0.21341604226357305
openai-gpt-oss-120b,1,ratio_mean,0.5172016498085209,0.21341604226357305
openai-gpt-oss-120b,1,ratio_min,0.5172016498085209,0.21341604226357305
openai-gpt-oss-120b,2,ratio_max,0.6656069411888377,0.24323573457340214
openai-gpt-oss-120b,2,ratio_mean,0.6098476809757488,0.1780901157388398
openai-gpt-oss-120b,2,ratio_min,0.5512203799699262,0.16099204145435536
openai-gpt-oss-120b,3,ratio_max,0.7491934585446449,0.22134632328165377
openai-gpt-oss-120b,3,ratio_mean,0.6639386944842534,0.11937755437401742
openai-gpt-oss-120b,3,ratio_min,0.5840082422142461,0.12869427688537277
openai-gpt-oss-120b,4,ratio_max,0.7884738183647348,0.2031084798717042
openai-gpt-oss-120b,4,ratio_mean,0.6962933425953415,0.09652323262560798
openai-gpt-oss-120b,4,ratio_min,0.6246747557334208,0.11367593455108063
openai-gpt-oss-120b,5,ratio_max,0.8103331651890185,0.20093626454949984
openai-gpt-oss-120b,5,ratio_mean,0.7331330272322402,0.10069514193506855
openai-gpt-oss-120b,5,ratio_min,0.6584424603174603,0.11767681387428867
openai-gpt-oss-120b,6,ratio_max,0.8471815855660363,0.19542989186036344
openai-gpt-oss-120b,6,ratio_mean,0.7774268957849397,0.12226010989041813
openai-gpt-oss-120b,6,ratio_min,0.7171402062849432,0.1404424701747956
openai-gpt-oss-120b,7,ratio_max,0.8622789881634387,0.19375132929484126
