model,k,metric,observed_mean,observed_std
anthropic-claude-3-haiku,1,ratio_max,0.1634315723790766,0.21777686978844862
anthropic-claude-3-haiku,1,ratio_mean,0.1634315723790766,0.21777686978844862
anthropic-claude-3-haiku,1,ratio_min,0.1634315723790766,0.21777686978844862
anthropic-claude-3-haiku,2,ratio_max,0.27696423424765176,0.2155683230233966
anthropic-claude-3-haiku,2,ratio_mean,0.18901126136632554,0.16123063965554882
anthropic-claude-3-haiku,2,ratio_min,0.0689515957898311,0.1378892729626708
anthropic-claude-3-haiku,3,ratio_max,0.3572915962131716,0.307781063691472
anthropic-claude-3-haiku,3,ratio_mean,0.21086131330323,0.16236205334784543
anthropic-claude-3-haiku,3,ratio_min,0.024542483660130718,0.06743537704555169
anthropic-claude-3-haiku,4,ratio_max,0.5851182437398481,0.36939462932653744
anthropic-claude-3-haiku,4,ratio_mean,0.3140444254071178,0.19187646533293742
anthropic-claude-3-haiku,4,ratio_min,0.025256769374416434,0.06943759823137075
anthropic-claude-3-haiku,5,ratio_max,0.5804779467608415,0.3950364317876559
anthropic-claude-3-haiku,5,ratio_mean,0.31235467443625775,0.20041319697227605
anthropic-claude-3-haiku,5,ratio_min,0.017941176470588235,0.06767666602054873
anthropic-claude-3-haiku,6,ratio_max,0.6388643423569894,0.38289823974195875
anthropic-claude-3-haiku,6,ratio_mean,0.38649045770115026,0.2514944058114316
anthropic-claude-3-haiku,6,ratio_min,0.060476190476190475,0.223807390807305
anthropic-claude-3-haiku,7,ratio_max,0.7178274870554281,0.32736917620187644
anthropic-claude-3-haiku,7,ratio_mean,0.4331621809069152,0.22479693151714572
anthropic-claude-3-haiku,7,ratio_min,0.10833333333333335,0.30719919438247195
