model,k,metric,observed_mean,observed_std
deepseek-deepseek-v3.1-terminus,1,ratio_max,0.22105837144821366,0.28545199875418226
deepseek-deepseek-v3.1-terminus,1,ratio_mean,0.22105837144821366,0.28545199875418226
deepseek-deepseek-v3.1-terminus,1,ratio_min,0.22105837144821366,0.28545199875418226
deepseek-deepseek-v3.1-terminus,2,ratio_max,0.4549102674539923,0.3693778754199606
deepseek-deepseek-v3.1-terminus,2,ratio_mean,0.33907368734721705,0.2821229835345935
deepseek-deepseek-v3.1-terminus,2,ratio_min,0.1816080475252302,0.2572756637945198
deepseek-deepseek-v3.1-terminus,3,ratio_max,0.6511337212033081,0.3499647506024754
deepseek-deepseek-v3.1-terminus,3,ratio_mean,0.4234852826239278,0.25408644259478436
deepseek-deepseek-v3.1-terminus,3,ratio_min,0.1576556205232676,0.23235927455441577
deepseek-deepseek-v3.1-terminus,4,ratio_max,0.7345935862383232,0.3056145112464043
deepseek-deepseek-v3.1-terminus,4,ratio_mean,0.4331550814744151,0.20624666940409103
deepseek-deepseek-v3.1-terminus,4,ratio_min,0.09948179271708682,0.12217554852388245
deepseek-deepseek-v3.1-terminus,5,ratio_max,0.7356349522796891,0.31816488086254924
deepseek-deepseek-v3.1-terminus,5,ratio_mean,0.42266218932023847,0.2319473040109081
deepseek-deepseek-v3.1-terminus,5,ratio_min,0.13236652236652238,0.2398196018621958
deepseek-deepseek-v3.1-terminus,6,ratio_max,0.7645516058016057,0.3018564404414787
deepseek-deepseek-v3.1-terminus,6,ratio_mean,0.4493942254001745,0.23261806691239917
deepseek-deepseek-v3.1-terminus,6,ratio_min,0.14692460317460315,0.2687506177381123
deepseek-deepseek-v3.1-terminus,7,ratio_max,0.8024746087246086,0.26325608878622536
deepseek-deepseek-v3.1-terminus,7,ratio_mean,0.462283406687959,0.2511919678639224
deepseek-deepseek-v3.1-terminus,7,ratio_min,0.19107142857142856,0.3653704548541709
