model,k,metric,observed_mean,observed_std
deepseek-deepseek-v3.1-terminus,1,ratio_max,0.5103814864542693,0.1966463980699456
deepseek-deepseek-v3.1-terminus,1,ratio_mean,0.5103814864542693,0.1966463980699456
deepseek-deepseek-v3.1-terminus,1,ratio_min,0.5103814864542693,0.1966463980699456
deepseek-deepseek-v3.1-terminus,2,ratio_max,0.6722413085010098,0.2339825201146823
deepseek-deepseek-v3.1-terminus,2,ratio_mean,0.6224127288235899,0.15856587148723195
deepseek-deepseek-v3.1-terminus,2,ratio_min,0.5687696226398585,0.14830939471513163
deepseek-deepseek-v3.1-terminus,3,ratio_max,0.8005410229265495,0.201033730026222
deepseek-deepseek-v3.1-terminus,3,ratio_mean,0.6900147342771328,0.12969375150432222
deepseek-deepseek-v3.1-terminus,3,ratio_min,0.5964225985022413,0.12571144886947755
deepseek-deepseek-v3.1-terminus,4,ratio_max,0.8469465701529362,0.18551532351481415
deepseek-deepseek-v3.1-terminus,4,ratio_mean,0.710730266613053,0.11019833773424602
deepseek-deepseek-v3.1-terminus,4,ratio_min,0.6201494194040917,0.08600738515676509
deepseek-deepseek-v3.1-terminus,5,ratio_max,0.8531965701529363,0.18238332642210972
deepseek-deepseek-v3.1-terminus,5,ratio_mean,0.7276388169357058,0.10561137832077254
deepseek-deepseek-v3.1-terminus,5,ratio_min,0.6719769119769119,0.12239051113439389
deepseek-deepseek-v3.1-terminus,6,ratio_max,0.8932964165431052,0.14637831780045024
deepseek-deepseek-v3.1-terminus,6,ratio_mean,0.7633790977406436,0.10315159735442393
deepseek-deepseek-v3.1-terminus,6,ratio_min,0.7227792638647903,0.137238656124681
deepseek-deepseek-v3.1-terminus,7,ratio_max,0.8957964165431054,0.1478176303254136
deepseek-deepseek-v3.1-terminus,7,ratio_mean,0.7877663370995116,0.10971068476335553
deepseek-deepseek-v3.1-terminus,7,ratio_min,0.7545716052952895,0.1415173497982371
