model,k,metric,observed_mean,observed_std
google-gemini-3.1-pro-preview,1,ratio_max,0.5392523565644595,0.20424088771471233
google-gemini-3.1-pro-preview,1,ratio_mean,0.5392523565644595,0.20424088771471233
google-gemini-3.1-pro-preview,1,ratio_min,0.5392523565644595,0.20424088771471233
google-gemini-3.1-pro-preview,2,ratio_max,0.7107533209046408,0.2348720368060658
google-gemini-3.1-pro-preview,2,ratio_mean,0.6363242956934274,0.14775914041235713
google-gemini-3.1-pro-preview,2,ratio_min,0.5539118407820767,0.07233156380966171
google-gemini-3.1-pro-preview,3,ratio_max,0.7943577024649071,0.2193951413647925
google-gemini-3.1-pro-preview,3,ratio_mean,0.6927822727850632,0.13981004523354898
google-gemini-3.1-pro-preview,3,ratio_min,0.5866383217667197,0.08644981206453392
google-gemini-3.1-pro-preview,4,ratio_max,0.7978059783269762,0.21473234009635572
google-gemini-3.1-pro-preview,4,ratio_mean,0.7029232064576285,0.12901307843139462
google-gemini-3.1-pro-preview,4,ratio_min,0.6279348540677123,0.10932651001602683
google-gemini-3.1-pro-preview,5,ratio_max,0.8480239057959592,0.19478043893770783
google-gemini-3.1-pro-preview,5,ratio_mean,0.7500504732489832,0.11412846047333651
google-gemini-3.1-pro-preview,5,ratio_min,0.6705492424242424,0.10834316487489534
google-gemini-3.1-pro-preview,6,ratio_max,0.8704376988994074,0.18440581489997887
google-gemini-3.1-pro-preview,6,ratio_mean,0.7773443913412696,0.11222374386507047
google-gemini-3.1-pro-preview,6,ratio_min,0.7363136205899365,0.13059795041308858
google-gemini-3.1-pro-preview,7,ratio_max,0.901056711427042,0.16261115479204508
google-gemini-3.1-pro-preview,7,ratio_mean,0.8069966983956413,0.09103779131431533
google-gemini-3.1-pro-preview,7,ratio_min,0.7536755231782323,0.12773103095223357
