model,k,metric,observed_mean,observed_std
openai-gpt-oss-120b,1,ratio_max,0.2893145217009256,0.3105951040358175
openai-gpt-oss-120b,1,ratio_mean,0.2893145217009256,0.3105951040358175
openai-gpt-oss-120b,1,ratio_min,0.2893145217009256,0.3105951040358175
openai-gpt-oss-120b,2,ratio_max,0.4765954384535915,0.34391777644407134
openai-gpt-oss-120b,2,ratio_mean,0.3347230234729438,0.20090703324391304
openai-gpt-oss-120b,2,ratio_min,0.15100518332716475,0.11967370469461602
openai-gpt-oss-120b,3,ratio_max,0.5588412713286214,0.31178295132091577
openai-gpt-oss-120b,3,ratio_mean,0.3474245540452186,0.17083157299357032
openai-gpt-oss-120b,3,ratio_min,0.13808573779162014,0.12305233534825134
openai-gpt-oss-120b,4,ratio_max,0.5681090280687054,0.3016343755326439
openai-gpt-oss-120b,4,ratio_mean,0.32393484366299197,0.17585747592507156
openai-gpt-oss-120b,4,ratio_min,0.10293417366946778,0.10019144628299706
openai-gpt-oss-120b,5,ratio_max,0.6599335386835387,0.29720185466078225
openai-gpt-oss-120b,5,ratio_mean,0.3604424375621103,0.17342529869214338
openai-gpt-oss-120b,5,ratio_min,0.1001984126984127,0.12325773916050457
openai-gpt-oss-120b,6,ratio_max,0.6916576298098037,0.3110300559058906
openai-gpt-oss-120b,6,ratio_mean,0.4222742588502825,0.21810705824423524
openai-gpt-oss-120b,6,ratio_min,0.16833333333333333,0.27827415966364527
openai-gpt-oss-120b,7,ratio_max,0.7585424116945856,0.28743376223646505
openai-gpt-oss-120b,7,ratio_mean,0.4391645896378976,0.25304795684419845
openai-gpt-oss-120b,7,ratio_min,0.20583333333333337,0.3769403989060942
