model,k,metric,observed_mean,observed_std
openai-gpt-oss-120b,1,ratio_max,0.5593093734006459,0.2041814085179877
openai-gpt-oss-120b,1,ratio_mean,0.5593093734006459,0.2041814085179877
openai-gpt-oss-120b,1,ratio_min,0.5593093734006459,0.2041814085179877
openai-gpt-oss-120b,2,ratio_max,0.6755178223030609,0.22120346007461628
openai-gpt-oss-120b,2,ratio_mean,0.6110629116500533,0.12794883226149362
openai-gpt-oss-120b,2,ratio_min,0.542516828127536,0.10377355456197493
openai-gpt-oss-120b,3,ratio_max,0.7387240741093877,0.19981709801156086
openai-gpt-oss-120b,3,ratio_mean,0.6480740615160194,0.09863070558267079
openai-gpt-oss-120b,3,ratio_min,0.5804613975550958,0.09735593076851552
openai-gpt-oss-120b,4,ratio_max,0.7645981999835135,0.18146870135534648
openai-gpt-oss-120b,4,ratio_mean,0.6702867457195498,0.08224601381010593
openai-gpt-oss-120b,4,ratio_min,0.6215506235639167,0.09444027626221851
openai-gpt-oss-120b,5,ratio_max,0.7976986627391487,0.19557064164960777
openai-gpt-oss-120b,5,ratio_mean,0.7109393161354081,0.09629079363290499
openai-gpt-oss-120b,5,ratio_min,0.6737202380952381,0.11294647684115568
openai-gpt-oss-120b,6,ratio_max,0.820604068144554,0.19167383295954374
openai-gpt-oss-120b,6,ratio_mean,0.7481664800504658,0.10973143969159557
openai-gpt-oss-120b,6,ratio_min,0.7291060182507552,0.14264403497571335
openai-gpt-oss-120b,7,ratio_max,0.8572918368975403,0.18500297141225222
openai-gpt-oss-120b,7,ratio_mean,0.7773106049992387,0.11658318732176483
openai-gpt-oss-120b,7,ratio_min,0.7583502000665314,0.14750876566579632
