model,k,metric,observed_mean,observed_std
qwen-qwen-2.5-7b-instruct,1,ratio_max,0.19398688659268934,0.2695717123930719
qwen-qwen-2.5-7b-instruct,1,ratio_mean,0.19398688659268934,0.2695717123930719
qwen-qwen-2.5-7b-instruct,1,ratio_min,0.19398688659268934,0.2695717123930719
qwen-qwen-2.5-7b-instruct,2,ratio_max,0.31938791367018704,0.27579417943705736
qwen-qwen-2.5-7b-instruct,2,ratio_mean,0.22091987535121066,0.16585218052807527
qwen-qwen-2.5-7b-instruct,2,ratio_min,0.1006059626647862,0.12252847427325964
qwen-qwen-2.5-7b-instruct,3,ratio_max,0.5439371162632969,0.34359992813557755
qwen-qwen-2.5-7b-instruct,3,ratio_mean,0.3242945514503244,0.18937537116467915
qwen-qwen-2.5-7b-instruct,3,ratio_min,0.08894026724909078,0.11147866782176814
qwen-qwen-2.5-7b-instruct,4,ratio_max,0.6172439545221803,0.3339795369202377
qwen-qwen-2.5-7b-instruct,4,ratio_mean,0.34726695333729835,0.16487471142939275
qwen-qwen-2.5-7b-instruct,4,ratio_min,0.09793650793650793,0.1546555983024019
qwen-qwen-2.5-7b-instruct,5,ratio_max,0.6351451095201096,0.3282352830082833
qwen-qwen-2.5-7b-instruct,5,ratio_mean,0.3700390748133703,0.17282341464134257
qwen-qwen-2.5-7b-instruct,5,ratio_min,0.0722135217723453,0.15077730036218615
qwen-qwen-2.5-7b-instruct,6,ratio_max,0.6402974064275215,0.35241547594900735
qwen-qwen-2.5-7b-instruct,6,ratio_mean,0.40596032162682166,0.22345522686063557
qwen-qwen-2.5-7b-instruct,6,ratio_min,0.11448412698412698,0.27287496545917006
qwen-qwen-2.5-7b-instruct,7,ratio_max,0.7499736561037712,0.29469996814866906
qwen-qwen-2.5-7b-instruct,7,ratio_mean,0.43600926101401544,0.22071138158665027
qwen-qwen-2.5-7b-instruct,7,ratio_min,0.11833333333333333,0.30674198159830324
