model,k,metric,observed_mean,observed_std
qwen-qwen-2.5-7b-instruct,1,ratio_max,0.49399902388206013,0.18667167904059614
qwen-qwen-2.5-7b-instruct,1,ratio_mean,0.49399902388206013,0.18667167904059614
qwen-qwen-2.5-7b-instruct,1,ratio_min,0.49399902388206013,0.18667167904059614
qwen-qwen-2.5-7b-instruct,2,ratio_max,0.5722266766475632,0.1862881874656239
qwen-qwen-2.5-7b-instruct,2,ratio_mean,0.5423001729553646,0.1236961262827243
qwen-qwen-2.5-7b-instruct,2,ratio_min,0.5181983166547595,0.10274001406293987
qwen-qwen-2.5-7b-instruct,3,ratio_max,0.7291413601278152,0.21696906252713655
qwen-qwen-2.5-7b-instruct,3,ratio_mean,0.635849273785096,0.10457025442677984
qwen-qwen-2.5-7b-instruct,3,ratio_min,0.5566955303249492,0.09525630683136402
qwen-qwen-2.5-7b-instruct,4,ratio_max,0.7690485219315287,0.21945736006849673
qwen-qwen-2.5-7b-instruct,4,ratio_mean,0.6737767845719567,0.10068883792760813
qwen-qwen-2.5-7b-instruct,4,ratio_min,0.6178654531621046,0.11685971160773488
qwen-qwen-2.5-7b-instruct,5,ratio_max,0.7860674318314176,0.2109284303074749
qwen-qwen-2.5-7b-instruct,5,ratio_mean,0.7057925279316606,0.10673856035002868
qwen-qwen-2.5-7b-instruct,5,ratio_min,0.6610227272727273,0.11985408955915802
qwen-qwen-2.5-7b-instruct,6,ratio_max,0.8133832848588455,0.20224096432321917
qwen-qwen-2.5-7b-instruct,6,ratio_mean,0.741155686921434,0.11270987724493954
qwen-qwen-2.5-7b-instruct,6,ratio_min,0.7145373048004627,0.1377174422362191
qwen-qwen-2.5-7b-instruct,7,ratio_max,0.8536303204319682,0.18376301585075555
qwen-qwen-2.5-7b-instruct,7,ratio_mean,0.7741529402981264,0.11534175499131907
qwen-qwen-2.5-7b-instruct,7,ratio_min,0.7390504801785762,0.13447774136143228
