model,k,metric,observed_mean,observed_std
x-ai-grok-4.3,1,ratio_max,0.25702250788648795,0.3131084902209613
x-ai-grok-4.3,1,ratio_mean,0.25702250788648795,0.3131084902209613
x-ai-grok-4.3,1,ratio_min,0.25702250788648795,0.3131084902209613
x-ai-grok-4.3,2,ratio_max,0.4308780413279347,0.34713349336594734
x-ai-grok-4.3,2,ratio_mean,0.31737784305437455,0.2659294836627934
x-ai-grok-4.3,2,ratio_min,0.1769967487362998,0.2318337059120965
x-ai-grok-4.3,3,ratio_max,0.47212845057734293,0.35160482678027377
x-ai-grok-4.3,3,ratio_mean,0.30859221509260676,0.1830821452428668
x-ai-grok-4.3,3,ratio_min,0.09167950105450105,0.12031040862351308
x-ai-grok-4.3,4,ratio_max,0.5709052231017425,0.3246923283069188
x-ai-grok-4.3,4,ratio_mean,0.36765185378756776,0.19271187383653351
x-ai-grok-4.3,4,ratio_min,0.0675595238095238,0.10274667658890792
x-ai-grok-4.3,5,ratio_max,0.7257498154866576,0.32713484894619116
x-ai-grok-4.3,5,ratio_mean,0.4414802593948789,0.21773704944636407
x-ai-grok-4.3,5,ratio_min,0.0563510101010101,0.09222835045434756
x-ai-grok-4.3,6,ratio_max,0.7818541462563202,0.2659933265407307
x-ai-grok-4.3,6,ratio_mean,0.5342400013701083,0.2052432063860089
x-ai-grok-4.3,6,ratio_min,0.13373015873015873,0.25927804846696095
x-ai-grok-4.3,7,ratio_max,0.8110622529644267,0.278465003349058
x-ai-grok-4.3,7,ratio_mean,0.5634359152612943,0.2244708587773988
x-ai-grok-4.3,7,ratio_min,0.1463095238095238,0.30829665645360965
