model,k,metric,observed_mean,observed_std
x-ai-grok-4.3,1,ratio_max,0.5310898373484967,0.21710876047445343
x-ai-grok-4.3,1,ratio_mean,0.5310898373484967,0.21710876047445343
x-ai-grok-4.3,1,ratio_min,0.5310898373484967,0.21710876047445343
x-ai-grok-4.3,2,ratio_max,0.6462470612031024,0.22872441035814256
x-ai-grok-4.3,2,ratio_mean,0.599191918982195,0.16388564424430513
x-ai-grok-4.3,2,ratio_min,0.5559231162933523,0.14753393443323823
x-ai-grok-4.3,3,ratio_max,0.6816138520885215,0.22455075275122174
x-ai-grok-4.3,3,ratio_mean,0.6239305003934039,0.11146460196236724
x-ai-grok-4.3,3,ratio_min,0.5573205001071331,0.10198195775370938
x-ai-grok-4.3,4,ratio_max,0.7388911280010113,0.22455116664795202
x-ai-grok-4.3,4,ratio_mean,0.6751277777558299,0.12414517736035328
x-ai-grok-4.3,4,ratio_min,0.5984655178483761,0.12322995639973597
x-ai-grok-4.3,5,ratio_max,0.8587828648874692,0.17748659073157871
x-ai-grok-4.3,5,ratio_mean,0.7464679262193474,0.10721249525828733
x-ai-grok-4.3,5,ratio_min,0.6555663780663781,0.11583717623593555
x-ai-grok-4.3,6,ratio_max,0.8703317214363258,0.16849260338473526
x-ai-grok-4.3,6,ratio_mean,0.7882586809065616,0.10134631453655447
x-ai-grok-4.3,6,ratio_min,0.7172383281922756,0.13750995636852478
x-ai-grok-4.3,7,ratio_max,0.8927989168926518,0.16816092657623
x-ai-grok-4.3,7,ratio_mean,0.8209927824878676,0.0983613822142919
x-ai-grok-4.3,7,ratio_min,0.7453699246230208,0.13714847942901717
