model,k,metric,observed_mean,random_mean,random_std,n_prompts,num_permutations,seed,p95,above_p95
anthropic-claude-3-haiku,1,ratio_max,0.4712982075693158,0.5443889972078896,0.03946483861733437,20,2500,42,0.6097838656259403,False
anthropic-claude-3-haiku,1,ratio_mean,0.4712982075693158,0.5443889972078896,0.03946483861733437,20,2500,42,0.6097838656259403,False
anthropic-claude-3-haiku,1,ratio_min,0.4712982075693158,0.5443889972078896,0.03946483861733437,20,2500,42,0.6097838656259403,False
anthropic-claude-3-haiku,2,ratio_max,0.5475531691813345,0.6418617377334137,0.04145756534543003,20,2500,42,0.7116427247212421,False
anthropic-claude-3-haiku,2,ratio_mean,0.5209763977458397,0.5965958420036906,0.029813825088053497,20,2500,42,0.6461789655132117,False
anthropic-claude-3-haiku,2,ratio_min,0.49928946103900734,0.5531721432695087,0.024894349928848616,20,2500,42,0.5964551578782068,False
anthropic-claude-3-haiku,3,ratio_max,0.6033376266593403,0.7073882688203093,0.040901063414674865,20,2500,42,0.7742306312034273,False
anthropic-claude-3-haiku,3,ratio_mean,0.5653301099576337,0.6381005522462461,0.025191286580434884,20,2500,42,0.6805057700883234,False
anthropic-claude-3-haiku,3,ratio_min,0.5261801124019769,0.56895214080818,0.018084941459199325,20,2500,42,0.601524132346158,False
anthropic-claude-3-haiku,4,ratio_max,0.7455189114920585,0.75659927015128,0.04020121373941957,20,2500,42,0.8234774383936176,False
anthropic-claude-3-haiku,4,ratio_mean,0.6520296443054245,0.678785808427001,0.022204364888396028,20,2500,42,0.7167897544109385,False
anthropic-claude-3-haiku,4,ratio_min,0.5879515291717188,0.6139682492919922,0.014510493685383612,20,2500,42,0.6395682427981306,False
anthropic-claude-3-haiku,5,ratio_max,0.7580580964450366,0.7944507240947443,0.039549717529050135,20,2500,42,0.8601817757086764,False
anthropic-claude-3-haiku,5,ratio_mean,0.683052429184617,0.7169026006866849,0.020076837288970056,20,2500,42,0.7502908991107708,False
anthropic-claude-3-haiku,5,ratio_min,0.641795634920635,0.662305246031746,0.01137008500080431,20,2500,42,0.682313492063492,False
anthropic-claude-3-haiku,6,ratio_max,0.7777639787979778,0.8249238488807694,0.03782299470968614,20,2500,42,0.887559584795078,False
anthropic-claude-3-haiku,6,ratio_mean,0.7227660492953047,0.7538042964613089,0.0183150534912283,20,2500,42,0.7850829400086954,False
anthropic-claude-3-haiku,6,ratio_min,0.698404826167984,0.7152757473491422,0.00915890988556449,20,2500,42,0.7321005619015488,False
anthropic-claude-3-haiku,7,ratio_max,0.8273976639587133,0.8501835642273959,0.03650354738772646,20,2500,42,0.9106181453381699,False
anthropic-claude-3-haiku,7,ratio_mean,0.7661288751570261,0.7853499014351613,0.016766612127461798,20,2500,42,0.8132944728627689,False
anthropic-claude-3-haiku,7,ratio_min,0.7359254801785762,0.7489570823599346,0.007575251413937129,20,2500,42,0.7624824598024095,False
deepseek-deepseek-v3.1-terminus,1,ratio_max,0.5103814864542693,0.543692633796019,0.0398626510259771,20,2500,43,0.6137197310909329,False
deepseek-deepseek-v3.1-terminus,1,ratio_mean,0.5103814864542693,0.543692633796019,0.0398626510259771,20,2500,43,0.6137197310909329,False
deepseek-deepseek-v3.1-terminus,1,ratio_min,0.5103814864542693,0.543692633796019,0.0398626510259771,20,2500,43,0.6137197310909329,False
deepseek-deepseek-v3.1-terminus,2,ratio_max,0.6722413085010098,0.642473846373641,0.04326372805676874,20,2500,43,0.7158783315188663,False
deepseek-deepseek-v3.1-terminus,2,ratio_mean,0.6224127288235899,0.5970160806042913,0.03111864341309904,20,2500,43,0.6494655124521803,False
deepseek-deepseek-v3.1-terminus,2,ratio_min,0.5687696226398585,0.5533841357963881,0.02544187247099861,20,2500,43,0.597934237819129,False
deepseek-deepseek-v3.1-terminus,3,ratio_max,0.8005410229265495,0.7069412184999031,0.042856176236395295,20,2500,43,0.7783954190252056,True
deepseek-deepseek-v3.1-terminus,3,ratio_mean,0.6900147342771328,0.638439184412995,0.026351625756704668,20,2500,43,0.6825334655716069,True
deepseek-deepseek-v3.1-terminus,3,ratio_min,0.5964225985022413,0.5694221890023526,0.018310642459676972,20,2500,43,0.6018768708501357,False
deepseek-deepseek-v3.1-terminus,4,ratio_max,0.8469465701529362,0.7550918984317819,0.04180851757517605,20,2500,43,0.8237393691199918,True
deepseek-deepseek-v3.1-terminus,4,ratio_mean,0.710730266613053,0.6786571662459809,0.02335472203704273,20,2500,43,0.7159717009825165,False
deepseek-deepseek-v3.1-terminus,4,ratio_min,0.6201494194040917,0.6140503598178254,0.015036078011015508,20,2500,43,0.6404962648531206,False
deepseek-deepseek-v3.1-terminus,5,ratio_max,0.8531965701529363,0.7930832883619132,0.04023885486489061,20,2500,43,0.8604668313761649,False
deepseek-deepseek-v3.1-terminus,5,ratio_mean,0.7276388169357058,0.7169125804882486,0.020935149894417603,20,2500,43,0.751248806863271,False
deepseek-deepseek-v3.1-terminus,5,ratio_min,0.6719769119769119,0.6621276385281386,0.01136011790842546,20,2500,43,0.6823299062049062,False
deepseek-deepseek-v3.1-terminus,6,ratio_max,0.8932964165431052,0.8242209972151313,0.038412429365947624,20,2500,43,0.887625040793038,True
deepseek-deepseek-v3.1-terminus,6,ratio_mean,0.7633790977406436,0.7536965645010905,0.018838672134338454,20,2500,43,0.7843776150200644,False
deepseek-deepseek-v3.1-terminus,6,ratio_min,0.7227792638647903,0.715180690444059,0.009273612346657838,20,2500,43,0.7318754940235204,False
deepseek-deepseek-v3.1-terminus,7,ratio_max,0.8957964165431054,0.8493297693897294,0.03631565673460432,20,2500,43,0.9096020886300409,False
deepseek-deepseek-v3.1-terminus,7,ratio_mean,0.7877663370995116,0.7851676806971267,0.01701377291147596,20,2500,43,0.8138260862355046,False
deepseek-deepseek-v3.1-terminus,7,ratio_min,0.7545716052952895,0.7489168138559067,0.0074902257707428225,20,2500,43,0.7624475390021057,False
google-gemini-3.1-pro-preview,1,ratio_max,0.5392523565644595,0.5455006767596531,0.04108573099474362,20,2500,44,0.6146153175529161,False
google-gemini-3.1-pro-preview,1,ratio_mean,0.5392523565644595,0.5455006767596531,0.04108573099474362,20,2500,44,0.6146153175529161,False
google-gemini-3.1-pro-preview,1,ratio_min,0.5392523565644595,0.5455006767596531,0.04108573099474362,20,2500,44,0.6146153175529161,False
google-gemini-3.1-pro-preview,2,ratio_max,0.7107533209046408,0.6431482291345554,0.0421418640635334,20,2500,44,0.711480997198714,False
google-gemini-3.1-pro-preview,2,ratio_mean,0.6363242956934274,0.5973265224193769,0.030165042456468692,20,2500,44,0.6486207329787841,False
google-gemini-3.1-pro-preview,2,ratio_min,0.5539118407820767,0.5533104752436927,0.024742125501295738,20,2500,44,0.5963045360675578,False
google-gemini-3.1-pro-preview,3,ratio_max,0.7943577024649071,0.7081672821048602,0.041395938544495844,20,2500,44,0.779427272075335,True
