model,k,metric,observed_mean,observed_std
anthropic-claude-3-haiku,1,ratio_max,0.1634315723790766,0.21777686978844862
anthropic-claude-3-haiku,1,ratio_mean,0.1634315723790766,0.21777686978844862
anthropic-claude-3-haiku,1,ratio_min,0.1634315723790766,0.21777686978844862
anthropic-claude-3-haiku,2,ratio_max,0.27696423424765176,0.2155683230233966
anthropic-claude-3-haiku,2,ratio_mean,0.18901126136632554,0.16123063965554882
anthropic-claude-3-haiku,2,ratio_min,0.0689515957898311,0.1378892729626708
anthropic-claude-3-haiku,3,ratio_max,0.3572915962131716,0.307781063691472
anthropic-claude-3-haiku,3,ratio_mean,0.21086131330323,0.16236205334784543
anthropic-claude-3-haiku,3,ratio_min,0.024542483660130718,0.06743537704555169
anthropic-claude-3-haiku,4,ratio_max,0.5851182437398481,0.36939462932653744
anthropic-claude-3-haiku,4,ratio_mean,0.3140444254071178,0.19187646533293742
anthropic-claude-3-haiku,4,ratio_min,0.025256769374416434,0.06943759823137075
anthropic-claude-3-haiku,5,ratio_max,0.5804779467608415,0.3950364317876559
anthropic-claude-3-haiku,5,ratio_mean,0.31235467443625775,0.20041319697227605
anthropic-claude-3-haiku,5,ratio_min,0.017941176470588235,0.06767666602054873
anthropic-claude-3-haiku,6,ratio_max,0.6388643423569894,0.38289823974195875
anthropic-claude-3-haiku,6,ratio_mean,0.38649045770115026,0.2514944058114316
anthropic-claude-3-haiku,6,ratio_min,0.060476190476190475,0.223807390807305
anthropic-claude-3-haiku,7,ratio_max,0.7178274870554281,0.32736917620187644
anthropic-claude-3-haiku,7,ratio_mean,0.4331621809069152,0.22479693151714572
anthropic-claude-3-haiku,7,ratio_min,0.10833333333333335,0.30719919438247195
deepseek-deepseek-v3.1-terminus,1,ratio_max,0.22105837144821366,0.28545199875418226
deepseek-deepseek-v3.1-terminus,1,ratio_mean,0.22105837144821366,0.28545199875418226
deepseek-deepseek-v3.1-terminus,1,ratio_min,0.22105837144821366,0.28545199875418226
deepseek-deepseek-v3.1-terminus,2,ratio_max,0.4549102674539923,0.3693778754199606
deepseek-deepseek-v3.1-terminus,2,ratio_mean,0.33907368734721705,0.2821229835345935
deepseek-deepseek-v3.1-terminus,2,ratio_min,0.1816080475252302,0.2572756637945198
deepseek-deepseek-v3.1-terminus,3,ratio_max,0.6511337212033081,0.3499647506024754
deepseek-deepseek-v3.1-terminus,3,ratio_mean,0.4234852826239278,0.25408644259478436
deepseek-deepseek-v3.1-terminus,3,ratio_min,0.1576556205232676,0.23235927455441577
deepseek-deepseek-v3.1-terminus,4,ratio_max,0.7345935862383232,0.3056145112464043
deepseek-deepseek-v3.1-terminus,4,ratio_mean,0.4331550814744151,0.20624666940409103
deepseek-deepseek-v3.1-terminus,4,ratio_min,0.09948179271708682,0.12217554852388245
deepseek-deepseek-v3.1-terminus,5,ratio_max,0.7356349522796891,0.31816488086254924
deepseek-deepseek-v3.1-terminus,5,ratio_mean,0.42266218932023847,0.2319473040109081
deepseek-deepseek-v3.1-terminus,5,ratio_min,0.13236652236652238,0.2398196018621958
deepseek-deepseek-v3.1-terminus,6,ratio_max,0.7645516058016057,0.3018564404414787
deepseek-deepseek-v3.1-terminus,6,ratio_mean,0.4493942254001745,0.23261806691239917
deepseek-deepseek-v3.1-terminus,6,ratio_min,0.14692460317460315,0.2687506177381123
deepseek-deepseek-v3.1-terminus,7,ratio_max,0.8024746087246086,0.26325608878622536
deepseek-deepseek-v3.1-terminus,7,ratio_mean,0.462283406687959,0.2511919678639224
deepseek-deepseek-v3.1-terminus,7,ratio_min,0.19107142857142856,0.3653704548541709
google-gemini-3.1-pro-preview,1,ratio_max,0.27707373628884563,0.3011783092933596
google-gemini-3.1-pro-preview,1,ratio_mean,0.27707373628884563,0.3011783092933596
google-gemini-3.1-pro-preview,1,ratio_min,0.27707373628884563,0.3011783092933596
google-gemini-3.1-pro-preview,2,ratio_max,0.5375642449765092,0.36358565786067687
google-gemini-3.1-pro-preview,2,ratio_mean,0.3780968895312565,0.23284871541272428
google-gemini-3.1-pro-preview,2,ratio_min,0.15979485770507443,0.11739675839823104
google-gemini-3.1-pro-preview,3,ratio_max,0.6856871564217891,0.3112615129210492
google-gemini-3.1-pro-preview,3,ratio_mean,0.4434488443841926,0.20450361077664836
google-gemini-3.1-pro-preview,3,ratio_min,0.14504734644440528,0.13038651574908766
google-gemini-3.1-pro-preview,4,ratio_max,0.6771572871572872,0.30117916319500826
google-gemini-3.1-pro-preview,4,ratio_mean,0.41790451685555186,0.185452669245588
google-gemini-3.1-pro-preview,4,ratio_min,0.12849439775910365,0.1401885962179265
google-gemini-3.1-pro-preview,5,ratio_max,0.7499209124209124,0.2909212498855356
google-gemini-3.1-pro-preview,5,ratio_mean,0.448930182130267,0.18647678358447176
google-gemini-3.1-pro-preview,5,ratio_min,0.09032467532467534,0.11214999392574067
google-gemini-3.1-pro-preview,6,ratio_max,0.7651597707847708,0.29182829677938116
google-gemini-3.1-pro-preview,6,ratio_mean,0.47955928898818617,0.22037152815125619
google-gemini-3.1-pro-preview,6,ratio_min,0.18142857142857144,0.26802269397438583
google-gemini-3.1-pro-preview,7,ratio_max,0.7762087912087912,0.33510075666099864
google-gemini-3.1-pro-preview,7,ratio_mean,0.4616325212846538,0.26733868773146924
google-gemini-3.1-pro-preview,7,ratio_min,0.16089285714285714,0.3043277165856396
openai-gpt-oss-120b,1,ratio_max,0.2893145217009256,0.3105951040358175
openai-gpt-oss-120b,1,ratio_mean,0.2893145217009256,0.3105951040358175
openai-gpt-oss-120b,1,ratio_min,0.2893145217009256,0.3105951040358175
openai-gpt-oss-120b,2,ratio_max,0.4765954384535915,0.34391777644407134
openai-gpt-oss-120b,2,ratio_mean,0.3347230234729438,0.20090703324391304
openai-gpt-oss-120b,2,ratio_min,0.15100518332716475,0.11967370469461602
openai-gpt-oss-120b,3,ratio_max,0.5588412713286214,0.31178295132091577
openai-gpt-oss-120b,3,ratio_mean,0.3474245540452186,0.17083157299357032
openai-gpt-oss-120b,3,ratio_min,0.13808573779162014,0.12305233534825134
openai-gpt-oss-120b,4,ratio_max,0.5681090280687054,0.3016343755326439
openai-gpt-oss-120b,4,ratio_mean,0.32393484366299197,0.17585747592507156
openai-gpt-oss-120b,4,ratio_min,0.10293417366946778,0.10019144628299706
openai-gpt-oss-120b,5,ratio_max,0.6599335386835387,0.29720185466078225
openai-gpt-oss-120b,5,ratio_mean,0.3604424375621103,0.17342529869214338
openai-gpt-oss-120b,5,ratio_min,0.1001984126984127,0.12325773916050457
openai-gpt-oss-120b,6,ratio_max,0.6916576298098037,0.3110300559058906
openai-gpt-oss-120b,6,ratio_mean,0.4222742588502825,0.21810705824423524
openai-gpt-oss-120b,6,ratio_min,0.16833333333333333,0.27827415966364527
openai-gpt-oss-120b,7,ratio_max,0.7585424116945856,0.28743376223646505
openai-gpt-oss-120b,7,ratio_mean,0.4391645896378976,0.25304795684419845
openai-gpt-oss-120b,7,ratio_min,0.20583333333333337,0.3769403989060942
qwen-qwen-2.5-7b-instruct,1,ratio_max,0.19398688659268934,0.2695717123930719
qwen-qwen-2.5-7b-instruct,1,ratio_mean,0.19398688659268934,0.2695717123930719
qwen-qwen-2.5-7b-instruct,1,ratio_min,0.19398688659268934,0.2695717123930719
qwen-qwen-2.5-7b-instruct,2,ratio_max,0.31938791367018704,0.27579417943705736
qwen-qwen-2.5-7b-instruct,2,ratio_mean,0.22091987535121066,0.16585218052807527
qwen-qwen-2.5-7b-instruct,2,ratio_min,0.1006059626647862,0.12252847427325964
qwen-qwen-2.5-7b-instruct,3,ratio_max,0.5439371162632969,0.34359992813557755
qwen-qwen-2.5-7b-instruct,3,ratio_mean,0.3242945514503244,0.18937537116467915
qwen-qwen-2.5-7b-instruct,3,ratio_min,0.08894026724909078,0.11147866782176814
qwen-qwen-2.5-7b-instruct,4,ratio_max,0.6172439545221803,0.3339795369202377
qwen-qwen-2.5-7b-instruct,4,ratio_mean,0.34726695333729835,0.16487471142939275
qwen-qwen-2.5-7b-instruct,4,ratio_min,0.09793650793650793,0.1546555983024019
qwen-qwen-2.5-7b-instruct,5,ratio_max,0.6351451095201096,0.3282352830082833
qwen-qwen-2.5-7b-instruct,5,ratio_mean,0.3700390748133703,0.17282341464134257
qwen-qwen-2.5-7b-instruct,5,ratio_min,0.0722135217723453,0.15077730036218615
qwen-qwen-2.5-7b-instruct,6,ratio_max,0.6402974064275215,0.35241547594900735
qwen-qwen-2.5-7b-instruct,6,ratio_mean,0.40596032162682166,0.22345522686063557
qwen-qwen-2.5-7b-instruct,6,ratio_min,0.11448412698412698,0.27287496545917006
qwen-qwen-2.5-7b-instruct,7,ratio_max,0.7499736561037712,0.29469996814866906
qwen-qwen-2.5-7b-instruct,7,ratio_mean,0.43600926101401544,0.22071138158665027
qwen-qwen-2.5-7b-instruct,7,ratio_min,0.11833333333333333,0.30674198159830324
x-ai-grok-4.3,1,ratio_max,0.25702250788648795,0.3131084902209613
x-ai-grok-4.3,1,ratio_mean,0.25702250788648795,0.3131084902209613
x-ai-grok-4.3,1,ratio_min,0.25702250788648795,0.3131084902209613
x-ai-grok-4.3,2,ratio_max,0.4308780413279347,0.34713349336594734
x-ai-grok-4.3,2,ratio_mean,0.31737784305437455,0.2659294836627934
x-ai-grok-4.3,2,ratio_min,0.1769967487362998,0.2318337059120965
x-ai-grok-4.3,3,ratio_max,0.47212845057734293,0.35160482678027377
x-ai-grok-4.3,3,ratio_mean,0.30859221509260676,0.1830821452428668
x-ai-grok-4.3,3,ratio_min,0.09167950105450105,0.12031040862351308
x-ai-grok-4.3,4,ratio_max,0.5709052231017425,0.3246923283069188
x-ai-grok-4.3,4,ratio_mean,0.36765185378756776,0.19271187383653351
x-ai-grok-4.3,4,ratio_min,0.0675595238095238,0.10274667658890792
x-ai-grok-4.3,5,ratio_max,0.7257498154866576,0.32713484894619116
x-ai-grok-4.3,5,ratio_mean,0.4414802593948789,0.21773704944636407
x-ai-grok-4.3,5,ratio_min,0.0563510101010101,0.09222835045434756
x-ai-grok-4.3,6,ratio_max,0.7818541462563202,0.2659933265407307
x-ai-grok-4.3,6,ratio_mean,0.5342400013701083,0.2052432063860089
x-ai-grok-4.3,6,ratio_min,0.13373015873015873,0.25927804846696095
x-ai-grok-4.3,7,ratio_max,0.8110622529644267,0.278465003349058
x-ai-grok-4.3,7,ratio_mean,0.5634359152612943,0.2244708587773988
x-ai-grok-4.3,7,ratio_min,0.1463095238095238,0.30829665645360965
