model,k,metric,observed_mean,observed_std
anthropic-claude-3-haiku,1,ratio_max,0.4712982075693158,0.17739304892111407
anthropic-claude-3-haiku,1,ratio_mean,0.4712982075693158,0.17739304892111407
anthropic-claude-3-haiku,1,ratio_min,0.4712982075693158,0.17739304892111407
anthropic-claude-3-haiku,2,ratio_max,0.5475531691813345,0.17075081129461642
anthropic-claude-3-haiku,2,ratio_mean,0.5209763977458397,0.1339281427063618
anthropic-claude-3-haiku,2,ratio_min,0.49928946103900734,0.11620549529282619
anthropic-claude-3-haiku,3,ratio_max,0.6033376266593403,0.21569864962471533
anthropic-claude-3-haiku,3,ratio_mean,0.5653301099576337,0.13026970458449608
anthropic-claude-3-haiku,3,ratio_min,0.5261801124019769,0.08773793454887122
anthropic-claude-3-haiku,4,ratio_max,0.7455189114920585,0.2572624619238438
anthropic-claude-3-haiku,4,ratio_mean,0.6520296443054245,0.13514024252137233
anthropic-claude-3-haiku,4,ratio_min,0.5879515291717188,0.09593601902213221
anthropic-claude-3-haiku,5,ratio_max,0.7580580964450366,0.2512809740990247
anthropic-claude-3-haiku,5,ratio_mean,0.683052429184617,0.13381108315967197
anthropic-claude-3-haiku,5,ratio_min,0.641795634920635,0.1126970204732095
anthropic-claude-3-haiku,6,ratio_max,0.7777639787979778,0.24945516671081497
anthropic-claude-3-haiku,6,ratio_mean,0.7227660492953047,0.14507048740211542
anthropic-claude-3-haiku,6,ratio_min,0.698404826167984,0.12799735727509504
anthropic-claude-3-haiku,7,ratio_max,0.8273976639587133,0.21728457851208494
anthropic-claude-3-haiku,7,ratio_mean,0.7661288751570261,0.13856566529316752
anthropic-claude-3-haiku,7,ratio_min,0.7359254801785762,0.13493531452906482
deepseek-deepseek-v3.1-terminus,1,ratio_max,0.5103814864542693,0.1966463980699456
deepseek-deepseek-v3.1-terminus,1,ratio_mean,0.5103814864542693,0.1966463980699456
deepseek-deepseek-v3.1-terminus,1,ratio_min,0.5103814864542693,0.1966463980699456
deepseek-deepseek-v3.1-terminus,2,ratio_max,0.6722413085010098,0.2339825201146823
deepseek-deepseek-v3.1-terminus,2,ratio_mean,0.6224127288235899,0.15856587148723195
deepseek-deepseek-v3.1-terminus,2,ratio_min,0.5687696226398585,0.14830939471513163
deepseek-deepseek-v3.1-terminus,3,ratio_max,0.8005410229265495,0.201033730026222
deepseek-deepseek-v3.1-terminus,3,ratio_mean,0.6900147342771328,0.12969375150432222
deepseek-deepseek-v3.1-terminus,3,ratio_min,0.5964225985022413,0.12571144886947755
deepseek-deepseek-v3.1-terminus,4,ratio_max,0.8469465701529362,0.18551532351481415
deepseek-deepseek-v3.1-terminus,4,ratio_mean,0.710730266613053,0.11019833773424602
deepseek-deepseek-v3.1-terminus,4,ratio_min,0.6201494194040917,0.08600738515676509
deepseek-deepseek-v3.1-terminus,5,ratio_max,0.8531965701529363,0.18238332642210972
deepseek-deepseek-v3.1-terminus,5,ratio_mean,0.7276388169357058,0.10561137832077254
deepseek-deepseek-v3.1-terminus,5,ratio_min,0.6719769119769119,0.12239051113439389
deepseek-deepseek-v3.1-terminus,6,ratio_max,0.8932964165431052,0.14637831780045024
deepseek-deepseek-v3.1-terminus,6,ratio_mean,0.7633790977406436,0.10315159735442393
deepseek-deepseek-v3.1-terminus,6,ratio_min,0.7227792638647903,0.137238656124681
deepseek-deepseek-v3.1-terminus,7,ratio_max,0.8957964165431054,0.1478176303254136
deepseek-deepseek-v3.1-terminus,7,ratio_mean,0.7877663370995116,0.10971068476335553
deepseek-deepseek-v3.1-terminus,7,ratio_min,0.7545716052952895,0.1415173497982371
google-gemini-3.1-pro-preview,1,ratio_max,0.5392523565644595,0.20424088771471233
google-gemini-3.1-pro-preview,1,ratio_mean,0.5392523565644595,0.20424088771471233
google-gemini-3.1-pro-preview,1,ratio_min,0.5392523565644595,0.20424088771471233
google-gemini-3.1-pro-preview,2,ratio_max,0.7107533209046408,0.2348720368060658
google-gemini-3.1-pro-preview,2,ratio_mean,0.6363242956934274,0.14775914041235713
google-gemini-3.1-pro-preview,2,ratio_min,0.5539118407820767,0.07233156380966171
google-gemini-3.1-pro-preview,3,ratio_max,0.7943577024649071,0.2193951413647925
google-gemini-3.1-pro-preview,3,ratio_mean,0.6927822727850632,0.13981004523354898
google-gemini-3.1-pro-preview,3,ratio_min,0.5866383217667197,0.08644981206453392
google-gemini-3.1-pro-preview,4,ratio_max,0.7978059783269762,0.21473234009635572
google-gemini-3.1-pro-preview,4,ratio_mean,0.7029232064576285,0.12901307843139462
google-gemini-3.1-pro-preview,4,ratio_min,0.6279348540677123,0.10932651001602683
google-gemini-3.1-pro-preview,5,ratio_max,0.8480239057959592,0.19478043893770783
google-gemini-3.1-pro-preview,5,ratio_mean,0.7500504732489832,0.11412846047333651
google-gemini-3.1-pro-preview,5,ratio_min,0.6705492424242424,0.10834316487489534
google-gemini-3.1-pro-preview,6,ratio_max,0.8704376988994074,0.18440581489997887
google-gemini-3.1-pro-preview,6,ratio_mean,0.7773443913412696,0.11222374386507047
google-gemini-3.1-pro-preview,6,ratio_min,0.7363136205899365,0.13059795041308858
google-gemini-3.1-pro-preview,7,ratio_max,0.901056711427042,0.16261115479204508
google-gemini-3.1-pro-preview,7,ratio_mean,0.8069966983956413,0.09103779131431533
google-gemini-3.1-pro-preview,7,ratio_min,0.7536755231782323,0.12773103095223357
openai-gpt-oss-120b,1,ratio_max,0.5593093734006459,0.2041814085179877
openai-gpt-oss-120b,1,ratio_mean,0.5593093734006459,0.2041814085179877
openai-gpt-oss-120b,1,ratio_min,0.5593093734006459,0.2041814085179877
openai-gpt-oss-120b,2,ratio_max,0.6755178223030609,0.22120346007461628
openai-gpt-oss-120b,2,ratio_mean,0.6110629116500533,0.12794883226149362
openai-gpt-oss-120b,2,ratio_min,0.542516828127536,0.10377355456197493
openai-gpt-oss-120b,3,ratio_max,0.7387240741093877,0.19981709801156086
openai-gpt-oss-120b,3,ratio_mean,0.6480740615160194,0.09863070558267079
openai-gpt-oss-120b,3,ratio_min,0.5804613975550958,0.09735593076851552
openai-gpt-oss-120b,4,ratio_max,0.7645981999835135,0.18146870135534648
openai-gpt-oss-120b,4,ratio_mean,0.6702867457195498,0.08224601381010593
openai-gpt-oss-120b,4,ratio_min,0.6215506235639167,0.09444027626221851
openai-gpt-oss-120b,5,ratio_max,0.7976986627391487,0.19557064164960777
openai-gpt-oss-120b,5,ratio_mean,0.7109393161354081,0.09629079363290499
openai-gpt-oss-120b,5,ratio_min,0.6737202380952381,0.11294647684115568
openai-gpt-oss-120b,6,ratio_max,0.820604068144554,0.19167383295954374
openai-gpt-oss-120b,6,ratio_mean,0.7481664800504658,0.10973143969159557
openai-gpt-oss-120b,6,ratio_min,0.7291060182507552,0.14264403497571335
openai-gpt-oss-120b,7,ratio_max,0.8572918368975403,0.18500297141225222
openai-gpt-oss-120b,7,ratio_mean,0.7773106049992387,0.11658318732176483
openai-gpt-oss-120b,7,ratio_min,0.7583502000665314,0.14750876566579632
qwen-qwen-2.5-7b-instruct,1,ratio_max,0.49399902388206013,0.18667167904059614
qwen-qwen-2.5-7b-instruct,1,ratio_mean,0.49399902388206013,0.18667167904059614
qwen-qwen-2.5-7b-instruct,1,ratio_min,0.49399902388206013,0.18667167904059614
qwen-qwen-2.5-7b-instruct,2,ratio_max,0.5722266766475632,0.1862881874656239
qwen-qwen-2.5-7b-instruct,2,ratio_mean,0.5423001729553646,0.1236961262827243
qwen-qwen-2.5-7b-instruct,2,ratio_min,0.5181983166547595,0.10274001406293987
qwen-qwen-2.5-7b-instruct,3,ratio_max,0.7291413601278152,0.21696906252713655
qwen-qwen-2.5-7b-instruct,3,ratio_mean,0.635849273785096,0.10457025442677984
qwen-qwen-2.5-7b-instruct,3,ratio_min,0.5566955303249492,0.09525630683136402
qwen-qwen-2.5-7b-instruct,4,ratio_max,0.7690485219315287,0.21945736006849673
qwen-qwen-2.5-7b-instruct,4,ratio_mean,0.6737767845719567,0.10068883792760813
qwen-qwen-2.5-7b-instruct,4,ratio_min,0.6178654531621046,0.11685971160773488
qwen-qwen-2.5-7b-instruct,5,ratio_max,0.7860674318314176,0.2109284303074749
qwen-qwen-2.5-7b-instruct,5,ratio_mean,0.7057925279316606,0.10673856035002868
qwen-qwen-2.5-7b-instruct,5,ratio_min,0.6610227272727273,0.11985408955915802
qwen-qwen-2.5-7b-instruct,6,ratio_max,0.8133832848588455,0.20224096432321917
qwen-qwen-2.5-7b-instruct,6,ratio_mean,0.741155686921434,0.11270987724493954
qwen-qwen-2.5-7b-instruct,6,ratio_min,0.7145373048004627,0.1377174422362191
qwen-qwen-2.5-7b-instruct,7,ratio_max,0.8536303204319682,0.18376301585075555
qwen-qwen-2.5-7b-instruct,7,ratio_mean,0.7741529402981264,0.11534175499131907
qwen-qwen-2.5-7b-instruct,7,ratio_min,0.7390504801785762,0.13447774136143228
x-ai-grok-4.3,1,ratio_max,0.5310898373484967,0.21710876047445343
x-ai-grok-4.3,1,ratio_mean,0.5310898373484967,0.21710876047445343
x-ai-grok-4.3,1,ratio_min,0.5310898373484967,0.21710876047445343
x-ai-grok-4.3,2,ratio_max,0.6462470612031024,0.22872441035814256
x-ai-grok-4.3,2,ratio_mean,0.599191918982195,0.16388564424430513
x-ai-grok-4.3,2,ratio_min,0.5559231162933523,0.14753393443323823
x-ai-grok-4.3,3,ratio_max,0.6816138520885215,0.22455075275122174
x-ai-grok-4.3,3,ratio_mean,0.6239305003934039,0.11146460196236724
x-ai-grok-4.3,3,ratio_min,0.5573205001071331,0.10198195775370938
x-ai-grok-4.3,4,ratio_max,0.7388911280010113,0.22455116664795202
x-ai-grok-4.3,4,ratio_mean,0.6751277777558299,0.12414517736035328
x-ai-grok-4.3,4,ratio_min,0.5984655178483761,0.12322995639973597
x-ai-grok-4.3,5,ratio_max,0.8587828648874692,0.17748659073157871
x-ai-grok-4.3,5,ratio_mean,0.7464679262193474,0.10721249525828733
x-ai-grok-4.3,5,ratio_min,0.6555663780663781,0.11583717623593555
x-ai-grok-4.3,6,ratio_max,0.8703317214363258,0.16849260338473526
x-ai-grok-4.3,6,ratio_mean,0.7882586809065616,0.10134631453655447
x-ai-grok-4.3,6,ratio_min,0.7172383281922756,0.13750995636852478
x-ai-grok-4.3,7,ratio_max,0.8927989168926518,0.16816092657623
x-ai-grok-4.3,7,ratio_mean,0.8209927824878676,0.0983613822142919
x-ai-grok-4.3,7,ratio_min,0.7453699246230208,0.13714847942901717
