model,k,metric,observed_mean,observed_std
anthropic-claude-3.7-sonnet,1,ratio_max,0.5617126275301615,0.20155263362776268
anthropic-claude-3.7-sonnet,1,ratio_mean,0.5617126275301615,0.20155263362776268
anthropic-claude-3.7-sonnet,1,ratio_min,0.5617126275301615,0.20155263362776268
anthropic-claude-3.7-sonnet,2,ratio_max,0.632167569838552,0.21879976809848398
anthropic-claude-3.7-sonnet,2,ratio_mean,0.5905096713980069,0.13918527719652932
anthropic-claude-3.7-sonnet,2,ratio_min,0.5524408712584756,0.11059820451801923
anthropic-claude-3.7-sonnet,3,ratio_max,0.7195419929645738,0.2248982801727811
anthropic-claude-3.7-sonnet,3,ratio_mean,0.6360526767207523,0.12161357682836307
anthropic-claude-3.7-sonnet,3,ratio_min,0.5789322344601532,0.13792571827573055
anthropic-claude-3.7-sonnet,4,ratio_max,0.7442831937927312,0.22083156232332676
anthropic-claude-3.7-sonnet,4,ratio_mean,0.6689659313468079,0.12689504595094117
anthropic-claude-3.7-sonnet,4,ratio_min,0.5951393257114422,0.13105160915299818
anthropic-claude-3.7-sonnet,5,ratio_max,0.7947848472525177,0.18767053939085693
anthropic-claude-3.7-sonnet,5,ratio_mean,0.7174007752799679,0.1145918279822069
anthropic-claude-3.7-sonnet,5,ratio_min,0.6568650793650793,0.1397325848300621
anthropic-claude-3.7-sonnet,6,ratio_max,0.8499602354066293,0.15283747776862208
anthropic-claude-3.7-sonnet,6,ratio_mean,0.7569712912174108,0.10878293295560366
anthropic-claude-3.7-sonnet,6,ratio_min,0.7027938837478312,0.1361894068781663
anthropic-claude-3.7-sonnet,7,ratio_max,0.8761723566187506,0.14351916631452613
anthropic-claude-3.7-sonnet,7,ratio_mean,0.7902076917198759,0.11292624068750388
anthropic-claude-3.7-sonnet,7,ratio_min,0.7425921468452429,0.13937101337025162
