model,k,metric,observed_mean,observed_std
deepseek-deepseek-v3.1-terminus,1,ratio_max,0.21189216883523443,0.27921181111929716
deepseek-deepseek-v3.1-terminus,1,ratio_mean,0.21189216883523443,0.27921181111929716
deepseek-deepseek-v3.1-terminus,1,ratio_min,0.21189216883523443,0.27921181111929716
deepseek-deepseek-v3.1-terminus,2,ratio_max,0.43410851090745356,0.35615297251584777
deepseek-deepseek-v3.1-terminus,2,ratio_mean,0.291161381182459,0.2294162217718964
deepseek-deepseek-v3.1-terminus,2,ratio_min,0.10531957421663304,0.11095225886639834
deepseek-deepseek-v3.1-terminus,3,ratio_max,0.5122195175908286,0.3621527210641388
deepseek-deepseek-v3.1-terminus,3,ratio_mean,0.31560080513107197,0.23075548584398575
deepseek-deepseek-v3.1-terminus,3,ratio_min,0.07577958805899983,0.10499475179558442
deepseek-deepseek-v3.1-terminus,4,ratio_max,0.6369447767145137,0.32056255533414657
deepseek-deepseek-v3.1-terminus,4,ratio_mean,0.3769123074340848,0.21832531585117904
deepseek-deepseek-v3.1-terminus,4,ratio_min,0.023179271708683467,0.05300061133979064
deepseek-deepseek-v3.1-terminus,5,ratio_max,0.7319739142436511,0.33423574490383146
deepseek-deepseek-v3.1-terminus,5,ratio_mean,0.41561014570969457,0.24042228783628275
deepseek-deepseek-v3.1-terminus,5,ratio_min,0.029567099567099568,0.06230634197108489
deepseek-deepseek-v3.1-terminus,6,ratio_max,0.8132567945339684,0.25627378175289034
deepseek-deepseek-v3.1-terminus,6,ratio_mean,0.49864713596862276,0.23716399420662523
deepseek-deepseek-v3.1-terminus,6,ratio_min,0.08392857142857144,0.22743933693868928
deepseek-deepseek-v3.1-terminus,7,ratio_max,0.8674376137147876,0.1961762056299079
deepseek-deepseek-v3.1-terminus,7,ratio_mean,0.5109250748297026,0.2433782331161833
deepseek-deepseek-v3.1-terminus,7,ratio_min,0.14333333333333334,0.30743230130069443
