model,k,metric,observed_mean,observed_std
deepseek-deepseek-v3.1-terminus,1,ratio_max,0.5125893971364509,0.1943840652861331
deepseek-deepseek-v3.1-terminus,1,ratio_mean,0.5125893971364509,0.1943840652861331
deepseek-deepseek-v3.1-terminus,1,ratio_min,0.5125893971364509,0.1943840652861331
deepseek-deepseek-v3.1-terminus,2,ratio_max,0.6598703989509073,0.21779425641323968
deepseek-deepseek-v3.1-terminus,2,ratio_mean,0.5936383377982433,0.12973231945111596
deepseek-deepseek-v3.1-terminus,2,ratio_min,0.5221744943605197,0.09395125100806505
deepseek-deepseek-v3.1-terminus,3,ratio_max,0.7184419243702587,0.21446150189897728
deepseek-deepseek-v3.1-terminus,3,ratio_mean,0.6306422680396971,0.1324583815752927
deepseek-deepseek-v3.1-terminus,3,ratio_min,0.5514190416764295,0.09134185405667707
deepseek-deepseek-v3.1-terminus,4,ratio_max,0.7924352082987878,0.20522653812230776
deepseek-deepseek-v3.1-terminus,4,ratio_mean,0.6865636746381444,0.13239879747821373
deepseek-deepseek-v3.1-terminus,4,ratio_min,0.5839958522482758,0.10800111890696325
deepseek-deepseek-v3.1-terminus,5,ratio_max,0.8639536317793549,0.19013566386640016
deepseek-deepseek-v3.1-terminus,5,ratio_mean,0.7323997798563674,0.13279796603637817
deepseek-deepseek-v3.1-terminus,5,ratio_min,0.6453490259740259,0.1146868318445153
deepseek-deepseek-v3.1-terminus,6,ratio_max,0.9039536317793552,0.14837156729886922
deepseek-deepseek-v3.1-terminus,6,ratio_mean,0.7783153028075016,0.12700401253609134
deepseek-deepseek-v3.1-terminus,6,ratio_min,0.7051623048004627,0.13122891569722292
deepseek-deepseek-v3.1-terminus,7,ratio_max,0.9245705148962383,0.12742715768914256
deepseek-deepseek-v3.1-terminus,7,ratio_mean,0.809373561768914,0.1225919059058892
deepseek-deepseek-v3.1-terminus,7,ratio_min,0.7453249899824977,0.13534017820698346
