model,k,metric,observed_mean,observed_std
x-ai-grok-4.1-fast,1,ratio_max,0.6133251286153144,0.2364438897528191
x-ai-grok-4.1-fast,1,ratio_mean,0.6133251286153144,0.2364438897528191
x-ai-grok-4.1-fast,1,ratio_min,0.6133251286153144,0.2364438897528191
x-ai-grok-4.1-fast,2,ratio_max,0.682798598088526,0.22056794683867373
x-ai-grok-4.1-fast,2,ratio_mean,0.62801035080558,0.1298255128724405
x-ai-grok-4.1-fast,2,ratio_min,0.5746970780264791,0.09844365521209765
x-ai-grok-4.1-fast,3,ratio_max,0.7882544288524183,0.21430835633466572
x-ai-grok-4.1-fast,3,ratio_mean,0.6779934352277379,0.09159497797247988
x-ai-grok-4.1-fast,3,ratio_min,0.5849320356646956,0.10197169175494254
x-ai-grok-4.1-fast,4,ratio_max,0.81334096143617,0.195223336999365
x-ai-grok-4.1-fast,4,ratio_mean,0.7131071049585046,0.08480868112507665
x-ai-grok-4.1-fast,4,ratio_min,0.6248918934051864,0.11141577039340031
x-ai-grok-4.1-fast,5,ratio_max,0.8479886666721104,0.18507084069855292
x-ai-grok-4.1-fast,5,ratio_mean,0.7464258375965879,0.09824136560589708
x-ai-grok-4.1-fast,5,ratio_min,0.6635615079365078,0.11841184092279687
x-ai-grok-4.1-fast,6,ratio_max,0.8554886666721104,0.18956341883653005
x-ai-grok-4.1-fast,6,ratio_mean,0.7841214763759344,0.1090210555208468
x-ai-grok-4.1-fast,6,ratio_min,0.7288282404729775,0.14164653450692305
x-ai-grok-4.1-fast,7,ratio_max,0.895842592026036,0.17335783475962566
x-ai-grok-4.1-fast,7,ratio_mean,0.8225074668246304,0.11733044570527551
x-ai-grok-4.1-fast,7,ratio_min,0.7703436641188189,0.14667557220566885
