model,k,metric,observed_mean,observed_std
anthropic-claude-3.7-sonnet,1,ratio_max,0.5617126275301615,0.20155263362776268
anthropic-claude-3.7-sonnet,1,ratio_mean,0.5617126275301615,0.20155263362776268
anthropic-claude-3.7-sonnet,1,ratio_min,0.5617126275301615,0.20155263362776268
anthropic-claude-3.7-sonnet,2,ratio_max,0.632167569838552,0.21879976809848398
anthropic-claude-3.7-sonnet,2,ratio_mean,0.5905096713980069,0.13918527719652932
anthropic-claude-3.7-sonnet,2,ratio_min,0.5524408712584756,0.11059820451801923
anthropic-claude-3.7-sonnet,3,ratio_max,0.7195419929645738,0.2248982801727811
anthropic-claude-3.7-sonnet,3,ratio_mean,0.6360526767207523,0.12161357682836307
anthropic-claude-3.7-sonnet,3,ratio_min,0.5789322344601532,0.13792571827573055
anthropic-claude-3.7-sonnet,4,ratio_max,0.7442831937927312,0.22083156232332676
anthropic-claude-3.7-sonnet,4,ratio_mean,0.6689659313468079,0.12689504595094117
anthropic-claude-3.7-sonnet,4,ratio_min,0.5951393257114422,0.13105160915299818
anthropic-claude-3.7-sonnet,5,ratio_max,0.7947848472525177,0.18767053939085693
anthropic-claude-3.7-sonnet,5,ratio_mean,0.7174007752799679,0.1145918279822069
anthropic-claude-3.7-sonnet,5,ratio_min,0.6568650793650793,0.1397325848300621
anthropic-claude-3.7-sonnet,6,ratio_max,0.8499602354066293,0.15283747776862208
anthropic-claude-3.7-sonnet,6,ratio_mean,0.7569712912174108,0.10878293295560366
anthropic-claude-3.7-sonnet,6,ratio_min,0.7027938837478312,0.1361894068781663
anthropic-claude-3.7-sonnet,7,ratio_max,0.8761723566187506,0.14351916631452613
anthropic-claude-3.7-sonnet,7,ratio_mean,0.7902076917198759,0.11292624068750388
anthropic-claude-3.7-sonnet,7,ratio_min,0.7425921468452429,0.13937101337025162
deepseek-deepseek-v3.1-terminus,1,ratio_max,0.5125893971364509,0.1943840652861331
deepseek-deepseek-v3.1-terminus,1,ratio_mean,0.5125893971364509,0.1943840652861331
deepseek-deepseek-v3.1-terminus,1,ratio_min,0.5125893971364509,0.1943840652861331
deepseek-deepseek-v3.1-terminus,2,ratio_max,0.6598703989509073,0.21779425641323968
deepseek-deepseek-v3.1-terminus,2,ratio_mean,0.5936383377982433,0.12973231945111596
deepseek-deepseek-v3.1-terminus,2,ratio_min,0.5221744943605197,0.09395125100806505
deepseek-deepseek-v3.1-terminus,3,ratio_max,0.7184419243702587,0.21446150189897728
deepseek-deepseek-v3.1-terminus,3,ratio_mean,0.6306422680396971,0.1324583815752927
deepseek-deepseek-v3.1-terminus,3,ratio_min,0.5514190416764295,0.09134185405667707
deepseek-deepseek-v3.1-terminus,4,ratio_max,0.7924352082987878,0.20522653812230776
deepseek-deepseek-v3.1-terminus,4,ratio_mean,0.6865636746381444,0.13239879747821373
deepseek-deepseek-v3.1-terminus,4,ratio_min,0.5839958522482758,0.10800111890696325
deepseek-deepseek-v3.1-terminus,5,ratio_max,0.8639536317793549,0.19013566386640016
deepseek-deepseek-v3.1-terminus,5,ratio_mean,0.7323997798563674,0.13279796603637817
deepseek-deepseek-v3.1-terminus,5,ratio_min,0.6453490259740259,0.1146868318445153
deepseek-deepseek-v3.1-terminus,6,ratio_max,0.9039536317793552,0.14837156729886922
deepseek-deepseek-v3.1-terminus,6,ratio_mean,0.7783153028075016,0.12700401253609134
deepseek-deepseek-v3.1-terminus,6,ratio_min,0.7051623048004627,0.13122891569722292
deepseek-deepseek-v3.1-terminus,7,ratio_max,0.9245705148962383,0.12742715768914256
deepseek-deepseek-v3.1-terminus,7,ratio_mean,0.809373561768914,0.1225919059058892
deepseek-deepseek-v3.1-terminus,7,ratio_min,0.7453249899824977,0.13534017820698346
x-ai-grok-4.1-fast,1,ratio_max,0.6133251286153144,0.2364438897528191
x-ai-grok-4.1-fast,1,ratio_mean,0.6133251286153144,0.2364438897528191
x-ai-grok-4.1-fast,1,ratio_min,0.6133251286153144,0.2364438897528191
x-ai-grok-4.1-fast,2,ratio_max,0.682798598088526,0.22056794683867373
x-ai-grok-4.1-fast,2,ratio_mean,0.62801035080558,0.1298255128724405
x-ai-grok-4.1-fast,2,ratio_min,0.5746970780264791,0.09844365521209765
x-ai-grok-4.1-fast,3,ratio_max,0.7882544288524183,0.21430835633466572
x-ai-grok-4.1-fast,3,ratio_mean,0.6779934352277379,0.09159497797247988
x-ai-grok-4.1-fast,3,ratio_min,0.5849320356646956,0.10197169175494254
x-ai-grok-4.1-fast,4,ratio_max,0.81334096143617,0.195223336999365
x-ai-grok-4.1-fast,4,ratio_mean,0.7131071049585046,0.08480868112507665
x-ai-grok-4.1-fast,4,ratio_min,0.6248918934051864,0.11141577039340031
x-ai-grok-4.1-fast,5,ratio_max,0.8479886666721104,0.18507084069855292
x-ai-grok-4.1-fast,5,ratio_mean,0.7464258375965879,0.09824136560589708
x-ai-grok-4.1-fast,5,ratio_min,0.6635615079365078,0.11841184092279687
x-ai-grok-4.1-fast,6,ratio_max,0.8554886666721104,0.18956341883653005
x-ai-grok-4.1-fast,6,ratio_mean,0.7841214763759344,0.1090210555208468
x-ai-grok-4.1-fast,6,ratio_min,0.7288282404729775,0.14164653450692305
x-ai-grok-4.1-fast,7,ratio_max,0.895842592026036,0.17335783475962566
x-ai-grok-4.1-fast,7,ratio_mean,0.8225074668246304,0.11733044570527551
x-ai-grok-4.1-fast,7,ratio_min,0.7703436641188189,0.14667557220566885
