model,k,metric,observed_mean,observed_std
anthropic-claude-3.7-sonnet,1,ratio_max,0.368626915414942,0.3203168051967894
anthropic-claude-3.7-sonnet,1,ratio_mean,0.368626915414942,0.3203168051967894
anthropic-claude-3.7-sonnet,1,ratio_min,0.368626915414942,0.3203168051967894
anthropic-claude-3.7-sonnet,2,ratio_max,0.5529607747960151,0.330467802152238
anthropic-claude-3.7-sonnet,2,ratio_mean,0.38012330759072366,0.2338128888495891
anthropic-claude-3.7-sonnet,2,ratio_min,0.14910454311770102,0.18579319194246308
anthropic-claude-3.7-sonnet,3,ratio_max,0.6476559265010352,0.3088658146526865
anthropic-claude-3.7-sonnet,3,ratio_mean,0.40497638671556074,0.20420034756656918
anthropic-claude-3.7-sonnet,3,ratio_min,0.10460847975553858,0.1498060213079087
anthropic-claude-3.7-sonnet,4,ratio_max,0.6606954335986595,0.30881962957358944
anthropic-claude-3.7-sonnet,4,ratio_mean,0.41081344723733604,0.17505234947001255
anthropic-claude-3.7-sonnet,4,ratio_min,0.07526610644257703,0.13283542779096377
anthropic-claude-3.7-sonnet,5,ratio_max,0.7406243756243757,0.28026719507513914
anthropic-claude-3.7-sonnet,5,ratio_mean,0.4591563896991433,0.19502525614889718
anthropic-claude-3.7-sonnet,5,ratio_min,0.09176767676767676,0.1565484290225239
anthropic-claude-3.7-sonnet,6,ratio_max,0.7362124288754723,0.28073368548350225
anthropic-claude-3.7-sonnet,6,ratio_mean,0.4739065885999024,0.2189691075996022
anthropic-claude-3.7-sonnet,6,ratio_min,0.13361111111111112,0.28083970324969637
anthropic-claude-3.7-sonnet,7,ratio_max,0.7954806606437042,0.26238013091208223
anthropic-claude-3.7-sonnet,7,ratio_mean,0.4964966251704313,0.21846085389911732
anthropic-claude-3.7-sonnet,7,ratio_min,0.17666666666666667,0.3646836328199877
