model,k,metric,observed_mean,observed_std
anthropic-claude-3.7-sonnet,1,ratio_max,0.368626915414942,0.3203168051967894
anthropic-claude-3.7-sonnet,1,ratio_mean,0.368626915414942,0.3203168051967894
anthropic-claude-3.7-sonnet,1,ratio_min,0.368626915414942,0.3203168051967894
anthropic-claude-3.7-sonnet,2,ratio_max,0.5529607747960151,0.330467802152238
anthropic-claude-3.7-sonnet,2,ratio_mean,0.38012330759072366,0.2338128888495891
anthropic-claude-3.7-sonnet,2,ratio_min,0.14910454311770102,0.18579319194246308
anthropic-claude-3.7-sonnet,3,ratio_max,0.6476559265010352,0.3088658146526865
anthropic-claude-3.7-sonnet,3,ratio_mean,0.40497638671556074,0.20420034756656918
anthropic-claude-3.7-sonnet,3,ratio_min,0.10460847975553858,0.1498060213079087
anthropic-claude-3.7-sonnet,4,ratio_max,0.6606954335986595,0.30881962957358944
anthropic-claude-3.7-sonnet,4,ratio_mean,0.41081344723733604,0.17505234947001255
anthropic-claude-3.7-sonnet,4,ratio_min,0.07526610644257703,0.13283542779096377
anthropic-claude-3.7-sonnet,5,ratio_max,0.7406243756243757,0.28026719507513914
anthropic-claude-3.7-sonnet,5,ratio_mean,0.4591563896991433,0.19502525614889718
anthropic-claude-3.7-sonnet,5,ratio_min,0.09176767676767676,0.1565484290225239
anthropic-claude-3.7-sonnet,6,ratio_max,0.7362124288754723,0.28073368548350225
anthropic-claude-3.7-sonnet,6,ratio_mean,0.4739065885999024,0.2189691075996022
anthropic-claude-3.7-sonnet,6,ratio_min,0.13361111111111112,0.28083970324969637
anthropic-claude-3.7-sonnet,7,ratio_max,0.7954806606437042,0.26238013091208223
anthropic-claude-3.7-sonnet,7,ratio_mean,0.4964966251704313,0.21846085389911732
anthropic-claude-3.7-sonnet,7,ratio_min,0.17666666666666667,0.3646836328199877
deepseek-deepseek-v3.1-terminus,1,ratio_max,0.27124314312761727,0.3147134413493341
deepseek-deepseek-v3.1-terminus,1,ratio_mean,0.27124314312761727,0.3147134413493341
deepseek-deepseek-v3.1-terminus,1,ratio_min,0.27124314312761727,0.3147134413493341
deepseek-deepseek-v3.1-terminus,2,ratio_max,0.5606960646471023,0.36327717019465194
deepseek-deepseek-v3.1-terminus,2,ratio_mean,0.4120215072897867,0.29002724523815376
deepseek-deepseek-v3.1-terminus,2,ratio_min,0.20789853421432372,0.28933532838886666
deepseek-deepseek-v3.1-terminus,3,ratio_max,0.6157034206111229,0.33870128140797867
deepseek-deepseek-v3.1-terminus,3,ratio_mean,0.39205646624261237,0.23013403323419623
deepseek-deepseek-v3.1-terminus,3,ratio_min,0.12546727373933259,0.1331315389762611
deepseek-deepseek-v3.1-terminus,4,ratio_max,0.6973953823953825,0.32145736913667833
deepseek-deepseek-v3.1-terminus,4,ratio_mean,0.4156853577796785,0.2210048909686097
deepseek-deepseek-v3.1-terminus,4,ratio_min,0.09918534080298787,0.1500765772157206
deepseek-deepseek-v3.1-terminus,5,ratio_max,0.7819480288230289,0.24743051482610684
deepseek-deepseek-v3.1-terminus,5,ratio_mean,0.45213320087754383,0.17313960419128757
deepseek-deepseek-v3.1-terminus,5,ratio_min,0.04492424242424242,0.08365715682399179
deepseek-deepseek-v3.1-terminus,6,ratio_max,0.8131293929569793,0.301087638692519
deepseek-deepseek-v3.1-terminus,6,ratio_mean,0.49682280600414536,0.2237143609901974
deepseek-deepseek-v3.1-terminus,6,ratio_min,0.10900793650793653,0.23730225438083621
deepseek-deepseek-v3.1-terminus,7,ratio_max,0.8568116366392229,0.2420753638808659
deepseek-deepseek-v3.1-terminus,7,ratio_mean,0.48070760605712703,0.26391852797165805
deepseek-deepseek-v3.1-terminus,7,ratio_min,0.15380952380952378,0.3127443787274005
